glyph_unified	src_ref	pronunciation	meaning
󳵰	D1-00101	t͡ɕʰe³³	口（门～，路～，碗～，村～）。
󳵱	D1-00102	kʰo̹³³	糠。
󳵲	D1-00103	kʰo̹³³	北（～边）。
󳵳	D1-00104		彝文替上符号。
󳵴	D1-00105	ʂḭ²¹	箍（～桶）。
󳵵	D1-00106	ɖu³³	穿过，通过，跨过。
󳵶	D1-00107	bo̰²¹	（木）屑（砍的）。
󳵷	D1-00108	kɯ³³	九。
󳵸	D1-00109	t͡ɕʰɯ̰²¹	街子，集市。
󳵹	D1-00110	nɚ²¹	低，矮。
󳵺	D1-00111	nɚ³³	少。
󳵻	D1-00112	dɑ̰²¹	爬，上，初。
󳵼	D1-00113	ko²¹	胫（后脖～）。
󳵽	D1-00114	kɔ³³	中（～间），生命。
󳵾	D1-00115	mo̹³³	挨（～着坐）。
󳵿	D1-00116	fu³³	媒（～人）。
󳶀	D1-00117	nɚ̰⁵⁵	贴，粘，糊（埂子）。
󳶁	D1-00118	ʂu³³	锯（动词）。
󳶂	D1-00119	ⁿd͡zʰɤ²¹	商量。
󳶃	D1-00120	do²¹	能，行，可以。
󳶄	D1-00121	d͡zḛ⁵⁵	花椒。
󳶅	D1-00122	ŋɚ³³	憨，傻，愚蠢。
󳶆	D1-00123	fo̹⁵⁵	纠缠。
󳶇	D1-00124	mu³³	苍蝇。
󳶈	D1-00125	be³³	散乱。
󳶉	D1-00126	t͡ɕʰɑ̰⁵⁵	弓。
󳶊	D1-00127	bu²¹	队（量词）。
󳶋	D1-00128	xɔ²¹	毛毛（～～路）。
󳶌	D1-00201	tʰɤ⁵⁵	放（～水）。
󳶍	D1-00202	tɯ⁵⁵	埋。
󳶎	D1-00203	kʰu³³	请（～客）。
󳶏	D1-00204	t͡sʰɔ²¹	人。
󳶐	D1-00205	ᶮd͡ʑʰi²¹	酒。
󳶑	D1-00206	d͡ʑo̰²¹	怕，害怕。
󳶒	D1-00207		池塘，井（水～）。
󳶓	D1-00208	ȵɯ⁵⁵	野（～猪）。
󳶔	D1-00209	ⁿdʰɯ²¹	宽敞。
󳶕	D1-00210	pʰo²¹	布。
󳶖	D1-00211	ȵe⁵⁵	外（～面）。
󳶗	D1-00212	tɯ⁵⁵	蹿（野兽～山）。
󳶘	D1-00213	ⁿdʰɤ²¹	阻挡，阻止。
󳶙	D1-00214	mɚ³³	名字，名誉。
󳶚	D1-00215	ʂo̰⁵⁵	嗑松（树）。柏（树）。
󳶛	D1-00216	ŋo³³	鱼。借（～物）。
󳶜	D1-00217	vḭ⁵⁵	水蛭，蚂蟥。
󳶝	D1-00218	ᵐbʰṵ⁵⁵	拱（猪～地）。
󳶞	D1-00219	bu²¹	蝴蝶。
󳶟	D1-00220	tʰɤ⁵⁵	使…放。
󳶠	D1-00221	ȵi³³	也（我～去）。
󳶡	D1-00222	ᵐbʰe³³	衣服。
󳶢	D1-00223	fɔ³³	皇后，官太太。
󳶣	D1-00224	ŋɯ⁵⁵	瞌（睡）。
󳶤	D1-00225	ȵɯ³³	牛（黄～）。
󳶥	D1-00226	t͡sɚ̰²¹	炸（～雷）。
󳶦	D1-00227	d͡ze²¹	虾子。
󳶧	D1-00228	bɚ̰²¹	脱（皮）。
󳶨	D1-00229	sɔ⁵⁵	晴（天～）。
󳶩	D1-00230	lɚ⁵⁵	蟒。
󳶪	D1-00301	ɬe³³	（火）焰。
󳶫	D1-00302	hi²¹	丑（相貌～）。
󳶬	D1-00303	bɤ²¹	谈（～天），聊（～天）。
󳶭	D1-00304	bɤ²¹	山。
󳶮	D1-00305	ᶯd͡ʐʰɯ³³	冲（用拳～打）。
󳶯	D1-00306	bɤ⁵⁵	在（东西～）。
󳶰	D1-00307	nɚ̰⁵⁵	打滚（猪在塘中打～～）。
󳶱	D1-00308	tʰɑ̰³³	上。
󳶲	D1-00309	kɯ⁵⁵	下。
󳶳	D1-00310	d͡ʑo²¹	（一）件（事）。
󳶴	D1-00311	tʰɑ̰²¹	拆。
󳶵	D1-00312	d͡ʑi²¹	太阳。
󳶶	D1-00313	kʰɔ³³	苦，咸（～味）。
󳶷	D1-00314	dḛ⁵⁵	燃（自动）。
󳶸	D1-00315	ɣɯ̰⁵⁵	硌（～脚）。
󳶹	D1-00316	xu⁵⁵	缠（小孩～着要东西）。
󳶺	D1-00317	tʰo̰⁵⁵	母鸡（未下过蛋的）。
󳶻	D1-00318	xɤ̰⁵⁵	晒席，竹席。
󳶼	D1-00319	dɤ³³	牛鞭。
󳶽	D1-00320	t͡se³³	蒜。
󳶾	D1-00321	ⁿd͡zʰe³³	梯子，楼梯。
󳶿	D1-00322	kɤ̰²¹	打扮。
󳷀	D1-00323	pu³³	葱。
󳷁	D1-00324	bɤ²¹	灶。
󳷂	D1-00325	ne³³	甑子，蒸（～饭）。
󳷃	D1-00326	xo³³	杀（～鸡）。
󳷄	D1-00327	t͡ɕɑ̰²¹	耙（名词，动词）。
󳷅	D1-00328	fɚ̰²¹	发（～病）。
󳷆	D1-00329	o⁵⁵	水牛。
󳷇	D1-00401	bɤ²¹	壅（～土），堆（动词，量词）。
󳷈	D1-00402	vḭ²¹	开（～花），花。
󳷉	D1-00403	tɯ⁵⁵	绊（脚～），撞（～在地上）。
󳷊	D1-00404	t͡ʂʰo̰²¹	秋（～天）。
