glyph_unified	src_ref	pronunciation	meaning
󳷋	D1-00405	t͡sʰe⁵⁵	下（牲口～儿）。
󳷌	D1-00406	t͡ʂʰo̰²¹	小母猪（未生儿的）。
󳷍	D1-00407	ɣu²¹	野猫。
󳷎	D1-00408	ʂe⁵⁵	麦芽糖。
󳷏	D1-00409	no³³	嘛（助词）。
󳷐	D1-00410	xɔ²¹	干净，清净。
󳷑	D1-00411	ʔi⁵⁵	百合。
󳷒	D1-00412	to̰⁵⁵	枪。
󳷓	D1-00413	tɔ⁵⁵	着（吃～）。
󳷔	D1-00414	dɤ³³	匹（一～布）。
󳷕	D1-00415	ʂo̰²¹	做（～窝），寻（～踪）。
󳷖	D1-00416	t͡sʰe³³	电（闪～）。
󳷗	D1-00417	t͡sʰe²¹	成（说，做～）。
󳷘	D1-00418	kʰɔ³³	蒿枝。
󳷙	D1-00419	d͡ʑi²¹	仇人。
󳷚	D1-00420	pu³³	豪猪。
󳷛	D1-00421	bu³³	墙。
󳷜	D1-00422	ʑi³³	纸。
󳷝	D1-00423	ⁿd͡zʰɯ³³	土司，官。
󳷞	D1-00424	d͡ʐo̹⁵⁵	吊，挂（自动）。
󳷟	D1-00425	dɑ̰²¹	吃（牲口在草地上～草）。
󳷠	D1-00426	ɑ³³	词头。
󳷡	D1-00427	ɣɔ²¹⁻³³	胀（尿，屎～）。
󳷢	D1-00428	ᶮd͡ʑʰi⁵⁵	跨（分腿～在马背和墙头上）。
󳷣	D1-00501	ɬɯ³³	旧。
󳷤	D1-00502	d͡ʑu²¹	瘦（～人）。
󳷥	D1-00503	le²¹	来。
󳷦	D1-00504	le³³	为，为了。
󳷧	D1-00505	t͡ʂʰɚ³³	锁（～衣边）。
󳷨	D1-00506	t͡ɕʰi³³	到达。
󳷩	D1-00507	kʰɯ³³	偷。
󳷪	D1-00508	nɚ³³	猫。
󳷫	D1-00509	t͡ɕɔ⁵⁵	细柴。
󳷬	D1-00510	du³³	眼（肚脐～）。
󳷭	D1-00511	vɤ³³	雪。
󳷮	D1-00512	ɕe³³	早上。
󳷯	D1-00513	to̰⁵⁵	火，点（～火）。
󳷰	D1-00514	hɯ³³	霉。
󳷱	D1-00515	kɔ³³	请（～坐）。
󳷲	D1-00516	ʑo̰²¹	位（一～），个（一～人）。
󳷳	D1-00517	tʰe²¹	传达，告诉。
󳷴	D1-00518	kʰo̰²¹	头（锄～）。
󳷵	D1-00519	tʰe³³	亮（天～）。
󳷶	D1-00520	bo̰²¹	幅（布～，量词）（一～布）。
󳷷	D1-00521	fɑ̰⁵⁵	岩子。
󳷸	D1-00522	kʰo̰²¹	答，答话，回答。
󳷹	D1-00523	lɤ²¹	调头（犁地时～～）。
󳷺	D1-00524	tɑ̰²¹	抱（～柴），端（碗）。
󳷻	D1-00525	t͡sɔ²¹	赛（～马）。
󳷼	D1-00526	mɔ⁵⁵	妻（夫～）。
󳷽	D1-00527	li²¹	去。
󳷾	D1-00528	so²¹	别人，人家。
󳷿	D1-00601	ɬo̹⁵⁵	换。
󳸀	D1-00602	kʰo̰²¹	口粮。
󳸁	D1-00603	mu³³	菌子。
󳸂	D1-00604	tʰe³³	席（竹～）。
󳸃	D1-00605	so⁵⁵	记号（打～～）。
󳸄	D1-00606	t͡ɕo³³	筲箕。
󳸅	D1-00607	t͡sʰḛ⁵⁵	小米。
󳸆	D1-00608	se⁵⁵	好（～过，～穿）。
󳸇	D1-00609	mɚ̰⁵⁵	猫。
󳸈	D1-00610	t͡ʂʰʅ⁵⁵	腐烂，朽。
󳸉	D1-00611	mo³³	火（第一音节）。
󳸊	D1-00612	ɣo̹̰²¹	大（没有他～）。
󳸋	D1-00613	mo̹³³	够（～得着），及（来得～）。
󳸌	D1-00614	ŋo̹̰²¹	思，思考，思索。
󳸍	D1-00615	kɔ³³	烤（～火）。
󳸎	D1-00616	ŋɔ³³	现在。
󳸏	D1-00617	kɯ³³	跪。
󳸐	D1-00618	pɔ²¹	子（脖～）。
󳸑	D1-00619	ʑḛ²¹	谢谢。
󳸒	D1-00620	t͡sʰḭ³³	代（世～），掐（用手～）。
󳸓	D1-00621	d͡ʑi³³	铜。
󳸔	D1-00622	ɬɔ³³	黄浓（～水）。
󳸕	D1-00623	mo̹³³	姑娘，女孩。
󳸖	D1-00624	kɔ⁵⁵/mɔ⁵⁵	里（这～）。
󳸗	D1-00625	lɑ̰⁵⁵	手。
󳸘	D1-00626	mi³³	自己，各人。
󳸙	D1-00627	nɯ²¹	吹（～风）。
󳸚	D1-00701	ɖɯ⁵⁵	鸽（～子）。
󳸛	D1-00702	t͡ɕʰi²¹	解（～绳子）。
󳸜	D1-00703	ʂɤ̰²¹/vɤ̰²¹	脆（吃的东西～）。
󳸝	D1-00704	no̹³³	春。
󳸞	D1-00705	ʂu³³	巴（尾～）。
󳸟	D1-00706	t͡ʂḭ⁵⁵	焦（煳臭）。
󳸠	D1-00707	kʰɑ̰³³	铁（～核桃）。
󳸡	D1-00708	pɔ³³	根（一～棍子）。
󳸢	D1-00709	ho̰²¹	说。
󳸣	D1-00710	kʰɤ⁵⁵	舀。
󳸤	D1-00711	t͡sʰu³³	冬。
󳸥	D1-00712	t͡sʰo̹⁵⁵	葱。
󳸦	D1-00713	sɚ̰²¹	鳞（鱼鳞的～）。
󳸧	D1-00714	te²¹	扬（～谷子）。
󳸨	D1-00715	t͡si⁵⁵	云雀。
󳸩	D1-00716	si³³	咪咪（笑～～）。
󳸪	D1-00717	t͡ʂʰe²¹	稻谷。
󳸫	D1-00718	vu⁵⁵	卖。
󳸬	D1-00719	kʰɑ²¹	村寨。
󳸭	D1-00720	tu⁵⁵	哈（～人）。
󳸮	D1-00721	ⁿdʰɚ̰²¹	烂（煮～）。
󳸯	D1-00722	t͡ɕʰɯ²¹	窝（鸟，蜂～）。
󳸰	D1-00723	t͡ʂʰʅ²¹	借（～钱，粮）。
󳸱	D1-00724	mɔ²¹	尾（巴）。
󳸲	D1-00725	ʂe³³	夏。
󳸳	D1-00726	ve²¹	背子，背（一～柴）。
󳸴	D1-00727	d͡ʑi²¹	亲（～兄弟）。
󳸵	D1-00728	kʰɤ³³	劝。
󳸶	D1-00729	d͡ʑi²¹	福禄。
󳸷	D1-00801	po̰²¹	渣（豆腐～）。
󳸸	D1-00802	bḭ⁵⁵	蚂蚁。
󳸹	D1-00803	vi³³	远。
󳸺	D1-00804	d͡ʐʅ³³	涨（饭～）。
󳸻	D1-00805	li³³	私房（财产）。
󳸼	D1-00806	ɡo⁵⁵	披（自动）。
󳸽	D1-00807	d͡ʑo̹²¹	天井，院子。
󳸾	D1-00808	ⁿdʰe⁵⁵	蜇（蜂子～着）。
󳸿	D1-00809	ko³³	芝麻。
󳹀	D1-00810	ɕɔ³³	闲（～着）。
󳹁	D1-00811	mo²¹	炭（栗～）。
󳹂	D1-00812	t͡ʂe⁵⁵	养（～家畜）。
󳹃	D1-00813	kʰo̹²¹	背（脊～），顶（房～）。
󳹄	D1-00814	tɚ²¹	填（～土，～空）。
󳹅	D1-00815	no̹³³	近。
󳹆	D1-00816	ŋo̹³³	山药。
󳹇	D1-00817	d͡ʑo²¹	路。
󳹈	D1-00818	ⁿdʰu³³	侄。
󳹉	D1-00819	lo³³	獐子，麝（香）。
󳹊	D1-00820	ⁿdʰɔ²¹	喝，咽下。
󳹋	D1-00821	t͡sʰe²¹	掉。
󳹌	D1-00822	tʰe³³	点（名）。
󳹍	D1-00823	kɯ⁵⁵	面（里～）。
󳹎	D1-00824	ᶯd͡ʐʰḭ⁵⁵	撕（～羊毛）。
󳹏	D1-00825	to̰⁵⁵	瘪（～谷）。
󳹐	D1-00826	t͡sʰi³³	吝啬。
󳹑	D1-00827	mɯ²¹	高粱。
󳹒	D1-00828	t͡sɤ³³	网（抬的鱼～）。
󳹓	D1-00829	bḛ²¹	球（松～），小（牛儿）。
󳹔	D1-00901	t͡ʂʰo̹³³	唇（嘴～）。
󳹕	D1-00902	zo̰⁵⁵	寄生（草树）。
󳹖	D1-00903	tʰɑ̰²¹	快（刀子～）。
󳹗	D1-00904	bo³³	薄（厚～）。
󳹘	D1-00905	d͡ʐo³³	麻雀。
󳹙	D1-00906	ŋo̹³³	藕。
󳹚	D1-00907	ʑo³³	痒。
󳹛	D1-00908	mo̰²¹	母（父～），大（～路）。
󳹜	D1-00909	ᶯd͡ʐʰe³³	楔（名词，动词）。
󳹝	D1-00910	vɑ̰³³	黏糊糊。
󳹞	D1-00911	nɚ̰²¹	稀（～泥巴）。
󳹟	D1-00912	ɑ⁵⁵ʑḭ³³	荫（树～）。
󳹠	D1-00913	vɑ⁵⁵/fḛ²¹	使…挑。
󳹡	D1-00914	tʰɑ̰⁵⁵	为，为了。
󳹢	D1-00915	zu²¹	大麦。
󳹣	D1-00916	tʰɤ̰⁵⁵	叩（～头），磕头。
󳹤	D1-00917	ɳɔ⁵⁵	噎（～脖子）。
󳹥	D1-00918	xo³³	掉（吃～，喝～）。
󳹦	D1-00919	kʰɔ³³	哪些。
󳹧	D1-00920	so⁵⁵	棉花。
󳹨	D1-00921	t͡ɕɚ²¹	山岭，山梁子。
󳹩	D1-00922	bo³³	旁，旁边。
󳹪	D1-00923	vɚ²¹	麻（花椒～）。
󳹫	D1-00924	hɚ̰²¹	破烂（衣物）。
󳹬	D1-00925	ʂɯ³³	尖刀草。
󳹭	D1-00926	sɯ⁵⁵	薰（烟子～）。
󳹮	D1-00927	d͡ʐɔ⁵⁵	面（外～）。
󳹯	D1-00928	po²¹	炸裂（玉麦花～～）。
󳹰	D1-00929	d͡ʑɚ²¹	亮（天～），清（～水），醒（酒～）。
󳹱	D1-00930	tɤ³³	折（～回），叠（～回）。
󳹲	D1-01001	ᶮd͡ʑʰo̹̰²¹	擦，搓（～手）。
󳹳	D1-01002	ŋo³³	五。
󳹴	D1-01003	kɔ²¹	使看。
󳹵	D1-01004	hɯ³³	草果。
󳹶	D1-01005	ɬu³³	炒（～菜）。
󳹷	D1-01006	ʂɑ̰²¹	汉（族）。
󳹸	D1-01007	t͡ɕʰɯ³³	伤（人和身）。
󳹹	D1-01008	ho²¹	家支名。
󳹺	D1-01009	hḭ⁵⁵	八。
󳹻	D1-01010	ŋo³³	我。
󳹼	D1-01011	d͡ʐɔ³³	叫（撵山狗～）。
󳹽	D1-01012	t͡ʂʰe²¹	晚饭。
󳹾	D1-01013	t͡ʂo̹⁵⁵	千斤扣。
󳹿	D1-01014	t͡ʂʅ̰⁵⁵	吮，吸。
󳺀	D1-01015	t͡ʂe³³	醃，酸（～味）。
󳺁	D1-01016	t͡ɕʰi³³	粪，肥料。
󳺂	D1-01017	te³³	脾。
󳺃	D1-01018	du²¹	通（～洞）。
󳺄	D1-01019	ɬḭ⁵⁵	崴（脚扭着）。
󳺅	D1-01020	lɑ̰³³	私房。
󳺆	D1-01021	ʂʅ̰⁵⁵	扭（～着脚），拧（～毛巾）。
󳺇	D1-01022	zḭ²¹	柱子。
󳺈	D1-01023	pʰo⁵⁵	人，族。
󳺉	D1-01024	po̰²¹	缎子。
󳺊	D1-01025	t͡ɕḛ⁵⁵/kḛ⁵⁵	再，又（～来）。
󳺋	D1-01026	ɕḭ⁵⁵	新（～旧）。
󳺌	D1-01027	pṵ²¹	教（～生牛）。
󳺍	D1-01028	to̰²¹	起。
󳺎	D1-01029	ɡo⁵⁵	行李。
󳺏	D1-01030	t͡ɕʰi⁵⁵	嫁，妻子。
󳺐	D1-01101	ɬi³³	四。
󳺑	D1-01102	t͡ʂo̹⁵⁵	捻（～毛线）。
󳺒	D1-01103	hɚ²¹	房子，房屋。
󳺓	D1-01104	hi⁵⁵	花獐（会掏蜂的）。
󳺔	D1-01105	t͡ʂʰʅ³³	孤（～儿），寡（～妇）。
󳺕	D1-01106	ᵐbʰɚ²¹	打（～枪），弹（～棉花）。
󳺖	D1-01107	ɑ²¹	蜘蛛。
󳺗	D1-01108	ɣo̰²¹	鞍。
󳺘	D1-01109	t͡ɕḛ⁵⁵	面（～前）。
󳺙	D1-01110	lɤ̰²¹	迟（～早），慢（～走）。
󳺚	D1-01111	t͡ɕḛ⁵⁵/kḛ⁵⁵	前（～后）。
󳺛	D1-01112	vɑ̰⁵⁵	挑，扛（自动）。
󳺜	D1-01113	tɔ⁵⁵	邀约。
󳺝	D1-01114	kʰɤ̰⁵⁵/t͡sɔ²¹	台（～阶）。
󳺞	D1-01115	ɡɑ̰⁵⁵	野（～外）。
󳺟	D1-01116	ᵐbʰɤ⁵⁵	笨（～手～脚）。
󳺠	D1-01117	t͡sʰḛ⁵⁵	锡。
󳺡	D1-01118	tɔ³³	格，间（一～房）。
󳺢	D1-01119	xu²¹	尝（～味道）。
󳺣	D1-01120	kɤ³³	壳（蛋～，荞～）。
󳺤	D1-01121	pɤ²¹	襁褓（包小孩用），包，窠。
󳺥	D1-01122	d͡zḭ²¹	砍（～树）。
󳺦	D1-01123	vɚ³³	客人。
󳺧	D1-01124	ʔɯ³³	肾。
󳺨	D1-01125	kʰu³³	喊，叫（～人）。
󳺩	D1-01126	t͡ɕḭ²¹	驮（一～粮食）。
󳺪	D1-01127	t͡ɕe³³	句（一～话）。
󳺫	D1-01128	ɬɤ̰²¹	脱（锄头～）。
󳺬	D1-01129	ɣu³³	窄（宽～）。
󳺭	D1-01201	so²¹	客人。
󳺮	D1-01202	t͡ɕo³³	李子。
󳺯	D1-01203	t͡ɕe⁵⁵	隔（～奶）。
󳺰	D1-01204	zo̹²¹	辈（一～子），生（一～）。
󳺱	D1-01205	ʑyḛ²¹	月琴。
󳺲	D1-01206	xɤ³³	行李，披毡。
󳺳	D1-01207	t͡so̰²¹	根（尾～），蒂（花把～）。
󳺴	D1-01208	kɤ²¹	收（～庄稼）。
󳺵	D1-01209	t͡se²¹	茄子。
󳺶	D1-01210	fu³³	嫁（～姑娘）。
󳺷	D1-01211	xɚ³³	劈（～柴）。
󳺸	D1-01212	ʂɤ̰⁵⁵	阉（～鸡）。
󳺹	D1-01213	bḭ⁵⁵	裂（脚开～）。
󳺺	D1-01214	dɤ⁵⁵	荒，闲（～地）。
󳺻	D1-01215	de²¹	浅（深～）。
󳺼	D1-01216	de⁵⁵	穿（～鞋），戴（～帽），结（～果）。
󳺽	D1-01217	te²¹	撵（追赶之意）。
󳺾	D1-01218	e²¹	现在，如今。
󳺿	D1-01219	d͡zɚ̰²¹⁻³³	贼，土匪，小偷。
󳻀	D1-01220	d͡ʐḭ⁵⁵	四（～儿子）。
󳻁	D1-01221	xɔ⁵⁵	修（～树枝）。
󳻂	D1-01222	t͡ɕo⁵⁵	二（～儿子）。
󳻃	D1-01223	sɑ̰²¹	耳语。
󳻄	D1-01224	t͡ʂo³³	使…喂。
󳻅	D1-01225	d͡zɔ²¹	码（～柴），堆（动词）。
󳻆	D1-01226	d͡ʐɔ³³	正在（～～吃着）。
󳻇	D1-01227	lɑ⁵⁵⁻²¹	吗（表疑问）。
󳻈	D1-01228	sɿ⁵⁵	咱们。
󳻉	D1-01229	d͡zɿ³³	潮湿。
󳻊	D1-01230	ɣɚ²¹	实（老～，诚～，稳～）。
󳻋	D1-01301	ᶯd͡ʐʰɔ⁵⁵	绕开，称呼。
󳻌	D1-01302	ᶮd͡ʑʰɑ̰⁵⁵	弄脏，涂，画。
󳻍	D1-01303	po̰³³	场（哭一～，打一～）。
󳻎	D1-01304	d͡ʐɔ⁵⁵	才（我～不去）。
󳻏	D1-01305	ku³³	项圈。
󳻐	D1-01306	ɡɔ⁵⁵	空（～手）。
󳻑	D1-01307	t͡ʂo̰²¹t͡ʂe³³	酱（面～）。
󳻒	D1-01308	lo⁵⁵ɣɔ⁵⁵	香椿。
󳺃	D1-01309	du²¹	通（～洞）。
󳻔	D1-01310	me³³	妈。
󳻕	D1-01311	d͡ʐɔ²¹	周围。
󳻖	D1-01312	mɔ⁵⁵	妹子。
󳻗	D1-01313	t͡ɕo³³	筛（动词）。
󳻘	D1-01314	ɣɑ̰⁵⁵	叫（乌鸦～）。
󳻙	D1-01315	do̹³³	打（～铁，～粮）。
󳻚	D1-01316	d͡ʐe²¹	男奴隶。
󳻛	D1-01317	d͡ʐe²¹	鸡膆子树。
󳻜	D1-01318	t͡sḭ⁵⁵	节（竹～，骨～）。
󳻝	D1-01319	t͡ɕḭ²¹	剁（～肉）。
󳻞	D1-01320	t͡ɕe²¹	根（树～）。
󳻟	D1-01321	kʰo⁵⁵	药。
󳻠	D1-01322	t͡ɕi³³	称，秤，斤（一～）。
󳻡	D1-01323	te⁵⁵	浪费（～～财物）。
󳻢	D1-01324	ʔɤ⁵⁵	闷（～热，～洋芋）。
󳻣	D1-01325	ᶯd͡ʐʰe²¹	债，赊（～账）。
󳻤	D1-01326	ɣo³³	以后，之后。
󳻥	D1-01327	d͡zɔ³³	该，应该。
󳻦	D1-01328	pʰɚ̰²¹	卷（～袖）。
󳻧	D1-01329	ɡo̰⁵⁵	弯，回（～来了）。
󳻨	D1-01330	t͡ʂʅ³³	驮（动词）。
󳻩	D1-01401	zɑ̰⁵⁵	宴（客）。
󳻪	D1-01402	t͡sɤ³³	叫（公野鸡～）。
󳻫	D1-01403	nɚ³³	可口（味美）。
󳻬	D1-01404	tɚ²¹	使…沉淀，使…落底。
󳻭	D1-01405	tʰɤ⁵⁵	结（疙瘩）。
󳻮	D1-01406	ⁿdʰu³³	挖（地洞）。
󳻯	D1-01407	se³³	指甲。
󳻰	D1-01408	pʰi⁵⁵	相称。
󳻱	D1-01409	be²¹	瘿袋。
󳻲	D1-01410	t͡so̹³³	使…骑。
󳻳	D1-01411	t͡ɕʰḭ²¹	砍，伐（木）。
󳻴	D1-01412	d͡ʐʅ³³	蝉，知了。
󳻵	D1-01413	no³³	问，听（自动）。
󳻶	D1-01414	ɣɔ⁵⁵	蔬菜，青菜。
󳻷	D1-01415	xo̹⁵⁵	领，带，引（～路）。
󳻸	D1-01416	xɤ⁵⁵	晾（～东西）。
󳻹	D1-01417	d͡zo̹³³	骑（自动）。
󳻺	D1-01418	bu³³	虫，蚕。
󳻻	D1-01419	tʰɔ²¹	底（桶～，鞋～）。
󳻼	D1-01420	ɑ²¹ɡɯ³³	家（我～里）。
󳻽	D1-01421	mḭ⁵⁵	竹笋。
󳻾	D1-01422	bu³³	河。
󳻿	D1-01423	lɤ̰⁵⁵	钻（～进）。
󳼀	D1-01424	d͡ʐʅ²¹	怪（～你）。
󳼁	D1-01425	ŋo³³	犁，耕（～地）。
󳼂	D1-01426	mo̰²¹	苞谷，玉米。
󳼃	D1-01427	mo̰³³	杨梅。
󳼄	D1-01428	ᶯd͡ʐʰɔ³³	午饭。
󳼅	D1-01429	dɤ³³	钝（刀～）。
󳼆	D1-01430	se⁵⁵⁻³³	好过，愉快。
󳼇	D1-01501	ɣɑ̰³³	鸡。
󳼈	D1-01502	tʰo̰⁵⁵	躲（～在某处）。
󳼉	D1-01503	kɑ̰²¹/lɯ²¹	楼。
󳼊	D1-01504	tʰu²¹	窝（下蛋的～）。
󳼋	D1-01505	dɚ³³	芋头。
󳼌	D1-01506	d͡ʐḭ⁵⁵	碎（～米）。
󳼍	D1-01507	d͡ʐʅ̰²¹	叫（乱叫的～）。
󳼎	D1-01508	xɯ̰²¹	铸（～犁头）。
󳼏	D1-01509	ⁿd͡zʰe³³	边沿。
󳼐	D1-01510	no⁵⁵	引诱，割（绵羊）。
󳼑	D1-01511	t͡ʂʰo̹⁵⁵	织（～布）。
󳼒	D1-01512	me²¹	核桃。
󳼓	D1-01513	hḛ⁵⁵	站立。
󳼔	D1-01514	ɣɯ²¹	入，进入。
󳼕	D1-01515	sɿ²¹	主（～人）。
󳼖	D1-01516	t͡sʰe²¹	成（～不得）。
󳼗	D1-01517	t͡ʂɚ̰⁵⁵	喜鹊。
󳼘	D1-01518	t͡sʰɯ⁵⁵	肺。
󳼙	D1-01519	ɕɔ³³	芫荽。
󳼚	D1-01520	hɚ⁵⁵/d͡ʐɚ⁵⁵	很（～小）。
󳼛	D1-01521	kʰo̺³³	梿枷。
󳼜	D1-01522	ʂʅ⁵⁵	撒（～种）。
󳼝	D1-01523	ti³³	下的坡。
󳼞	D1-01524	be²¹	碓。
󳼟	D1-01525	d͡zɤ²¹	对，双（量词）。
󳼠	D1-01526	se²¹	夜间。
󳼡	D1-01527	zɑ̰⁵⁵	下（下去的～）。
󳼢	D1-01528	ʂʅ³³	青草。
󳼣	D1-01529	d͡zu²¹	居（～住）。
󳼤	D1-01530	dɚ̰²¹	淡（盐～）。
󳼥	D1-01531	sɑ̰⁵⁵	蒸（～饭）。
󳼦	D1-01532	ɣɑ̰⁵⁵	编（～织）。
󳼧	D1-01601	tʰɯ̰⁵⁵	除（～粪），出（～力）。
󳼨	D1-01602	dɔ⁵⁵	话。
󳼩	D1-01603	ʂɚ⁵⁵	筲箕。
󳼪	D1-01604	t͡ʂo̰²¹	藤（一～），棵（一～花）。
󳼫	D1-01605	ᵑɡʰɔ⁵⁵	讲（～价），议（价）。
󳼬	D1-01606	d͡ʐo̹⁵⁵	持（～刀），住（拿～）。
󳼭	D1-01607	te⁵⁵	匀（从整体中～出）。
󳼮	D1-01608	po̰²¹	渣（油～）。
󳼯	D1-01609	t͡ʂo̹³³	发炎（伤口～～）。
󳼰	D1-01610	lɑ̰²¹	篾帽。
󳼱	D1-01611	pʰḭ²¹	屁股。
󳼲	D1-01612	hɔ²¹	哭丧（放声诉哭）。
󳼳	D1-01613	t͡ɕʰe³³⁻⁵⁵	处（宽～），形容词的尺度。
󳼴	D1-01614	ᶯd͡ʐʰu²¹	首（一～），曲（一～）。
󳼵	D1-01615	ʑɑ³³	仅，仅仅，只是。
󳼶	D1-01616	zɤ³³	用，使用。
󳼷	D1-01617	ʑo³³	痒。
󳼸	D1-01618	ɣo̰⁵⁵	小肚，怀（抱）。
󳼹	D1-01619	lḭ⁵⁵	翘（～尾）。
󳼺	D1-01620	hɔ⁵⁵	羡慕，爱慕（指人或物）。
󳼻	D1-01621	t͡ɕḛ²¹	放（～给，～盐）。
󳼼	D1-01622	ȵo̹²¹	弟弟。
󳼽	D1-01623	t͡ʂʰe²¹	尖，削尖。
󳼾	D1-01624	tʰɑ³³	一。
󳼿	D1-01625	ȵi⁵⁵	二。
󳽀	D1-01626	sɑ³³	三。
󳽁	D1-01627	t͡sʰḭ²¹	眨（～眼）。
󳽂	D1-01628	sɚ̰⁵⁵	认识，知道，懂。
󳽃	D1-01629	tʰi³³	他。
