glyph_unified	src_ref
󴻀	D5-00101
󴻁	D5-00102
󴻂	D5-00103
󴻃	D5-00104
󴻄	D5-00105
󴻅	D5-00106
󴻆	D5-00107
󴻇	D5-00108
󴻈	D5-00109
󴻉	D5-00110
󴻊	D5-00111
󴻋	D5-00112
󴻌	D5-00201
󴻍	D5-00202
󴻎	D5-00203
󴻏	D5-00204
󴻐	D5-00205
󴻑	D5-00206
󴻒	D5-00207
󴻓	D5-00208
󴻔	D5-00209
󴻕	D5-00210
󴻖	D5-00211
󴻗	D5-00212
󴻘	D5-00301
󴻙	D5-00302
󴻚	D5-00303
󴻛	D5-00304
󴻜	D5-00305
󴻝	D5-00306
󴻞	D5-00307
󴻟	D5-00308
󴻠	D5-00309
󴻡	D5-00310
󴻢	D5-00311
󴻣	D5-00312
󴻤	D5-00401
󴻥	D5-00402
󴻦	D5-00403
󴻧	D5-00404
󴻨	D5-00405
󴻩	D5-00406
󴻪	D5-00407
󴻫	D5-00408
󴻬	D5-00409
󴻭	D5-00410
󴻮	D5-00411
󴻯	D5-00501
󴻰	D5-00502
󴻱	D5-00503
󴻲	D5-00504
󴻳	D5-00505
󴻴	D5-00506
󴻵	D5-00507
󴻶	D5-00508
󴻷	D5-00509
󴻸	D5-00601
󴻹	D5-00602
󴻺	D5-00603
󴻻	D5-00604
󴻼	D5-00605
󴻽	D5-00606
󴻾	D5-00607
󴻿	D5-00608
󴼀	D5-00609
󴼁	D5-00610
󴼂	D5-00611
󴼃	D5-00612
󴼄	D5-00701
󴼅	D5-00702
󴼆	D5-00703
󴼇	D5-00704
󴼈	D5-00705
󴼉	D5-00706
󴼊	D5-00707
󴼋	D5-00708
󴼌	D5-00709
󴼍	D5-00710
󴼎	D5-00711
󴼏	D5-00801
󴼐	D5-00802
󴼑	D5-00803
󴼒	D5-00804
󴼓	D5-00805
󴼔	D5-00806
󴼕	D5-00807
󴼖	D5-00808
󴼗	D5-00809
󴼘	D5-00810
󴼙	D5-00811
󴼚	D5-00901
󴼛	D5-00902
󴼜	D5-00903
󴼝	D5-00904
󴼞	D5-00905
󴼟	D5-00906
󴼠	D5-00907
󴼡	D5-00908
󴼢	D5-00909
󴼣	D5-00910
󴼤	D5-01001
󴼥	D5-01002
󴼦	D5-01003
󴼧	D5-01004
󴼨	D5-01005
󴼩	D5-01006
󴼪	D5-01007
󴼫	D5-01008
󴼬	D5-01101
󴼭	D5-01102
󴼮	D5-01103
󴼯	D5-01104
󴼰	D5-01105
󴼱	D5-01106
󴼲	D5-01107
󴼳	D5-01108
󴼴	D5-01109
󴼵	D5-01110
󴼶	D5-01201
󴼷	D5-01202
󴼸	D5-01203
󴼹	D5-01204
󴼺	D5-01205
󴼻	D5-01206
󴼼	D5-01207
󴼽	D5-01208
󴼾	D5-01209
󴼿	D5-01210
󴽀	D5-01301
󴽁	D5-01302
󴽂	D5-01303
󴽃	D5-01304
󴽄	D5-01305
󴽅	D5-01306
󴽆	D5-01307
󴽇	D5-01308
󴽈	D5-01309
󴽉	D5-01310
󴽊	D5-01311
󴽋	D5-01312
󴽌	D5-01313
󴽍	D5-01401
󴽎	D5-01402
󴽏	D5-01403
󴽐	D5-01404
󴽑	D5-01405
󴽒	D5-01406
󴽓	D5-01407
󴽔	D5-01408
󴽕	D5-01409
󴽖	D5-01410
󴽗	D5-01501
󴽘	D5-01502
󴽙	D5-01503
󴽚	D5-01504
󴽛	D5-01505
󴽜	D5-01506
󴽝	D5-01507
󴽞	D5-01508
󴽟	D5-01509
󴽠	D5-01601
󴽡	D5-01602
󴽢	D5-01603
󴽣	D5-01604
󴽤	D5-01605
󴽥	D5-01606
󴽦	D5-01607
󴽧	D5-01608
󴽨	D5-01609
󴽩	D5-01610
󴽪	D5-01611
󴽫	D5-01612
󴽬	D5-01701
󴽭	D5-01702
󴽮	D5-01703
󴽯	D5-01704
󴽰	D5-01705
󴽱	D5-01706
󴽲	D5-01707
󴽳	D5-01708
󴽴	D5-01709
󴽵	D5-01710
󴽶	D5-01711
󴽷	D5-01712
󴽸	D5-01801
󴽹	D5-01802
󴽺	D5-01803
󴽻	D5-01804
󴽼	D5-01805
󴽽	D5-01806
󴽾	D5-01807
