glyph_unified	src_ref
󶐰	D6-00101
󶐱	D6-00102
󶐲	D6-00103
󶐳	D6-00104
󶐴	D6-00105
󶐵	D6-00106
󶐶	D6-00201
󶐷	D6-00202
󶐸	D6-00203
󶐹	D6-00204
󶐺	D6-00205
󶐻	D6-00206
󶐼	D6-00301
󶐽	D6-00302
󶐾	D6-00303
󶐿	D6-00304
󶑀	D6-00305
󶑁	D6-00306
󶑂	D6-00307
󶑃	D6-00401
󶑄	D6-00402
󶑅	D6-00403
󶑆	D6-00404
󶑇	D6-00405
󶑈	D6-00406
󶑉	D6-00407
󶑊	D6-00408
󶑋	D6-00501
󶑌	D6-00502
󶑍	D6-00503
󶑎	D6-00504
󶑏	D6-00505
󶑐	D6-00506
󶑑	D6-00507
󶑒	D6-00601
󶑓	D6-00602
󶑔	D6-00603
󶑕	D6-00604
󶑖	D6-00605
󶑗	D6-00606
󶑘	D6-00701
󶑙	D6-00702
󶑚	D6-00703
󶑛	D6-00704
󶑜	D6-00705
󶑝	D6-00706
󶑞	D6-00801
󶑟	D6-00802
󶑠	D6-00803
󶑡	D6-00804
󶑢	D6-00805
󶑣	D6-00806
󶑤	D6-00807
󶑥	D6-00901
󶑦	D6-00902
󶑧	D6-00903
󶑨	D6-00904
󶑩	D6-00905
󶑪	D6-01001
󶑫	D6-01002
󶑬	D6-01003
󶑭	D6-01004
󶑮	D6-01005
󶑯	D6-01006
󶑰	D6-01101
󶑱	D6-01102
󶑲	D6-01103
󶑳	D6-01104
󶑴	D6-01105
󶑵	D6-01106
󶑶	D6-01107
󶑷	D6-01108
󶑸	D6-01201
󶑹	D6-01202
󶑺	D6-01203
󶑻	D6-01204
󶑼	D6-01205
󶑽	D6-01301
󶑾	D6-01302
󶑿	D6-01303
󶒀	D6-01304
󶒁	D6-01401
󶒂	D6-01402
󶒃	D6-01403
󶒄	D6-01404
󶒅	D6-01405
󶒆	D6-01406
󶒇	D6-01407
󶒈	D6-01501
󶒉	D6-01502
󶒊	D6-01503
󶒋	D6-01504
󶒌	D6-01505
󶒍	D6-01601
󶒎	D6-01602
󶒏	D6-01603
󶒐	D6-01604
󶒑	D6-01605
󶒒	D6-01606
󶒓	D6-01607
󶒔	D6-01701
󶒕	D6-01702
󶒖	D6-01703
󶒗	D6-01704
󶒘	D6-01705
󶒙	D6-01706
󶒚	D6-01707
󶒛	D6-01801
󶒜	D6-01802
󶒝	D6-01803
󶒞	D6-01804
󶒟	D6-01805
󶒠	D6-01901
󶒡	D6-01902
󶒢	D6-01903
󶒣	D6-01904
󶒤	D6-01905
󶒥	D6-01906
󶒦	D6-01907
󶒧	D6-02001
󶒨	D6-02002
󶒩	D6-02003
󶒪	D6-02004
󶒫	D6-02005
󶒬	D6-02006
󶒭	D6-02101
󶒮	D6-02102
󶒯	D6-02103
󶒰	D6-02104
󶒱	D6-02105
󶒲	D6-02106
󶒳	D6-02201
󶒴	D6-02202
󶒵	D6-02203
󶒶	D6-02204
󶒷	D6-02205
󶒸	D6-02206
󶒹	D6-02301
󶒺	D6-02302
󶒻	D6-02303
󶒼	D6-02304
󶒽	D6-02305
󶒾	D6-02401
󶒿	D6-02402
󶓀	D6-02403
󶓁	D6-02404
󶓂	D6-02405
󶓃	D6-02406
󶓄	D6-02501
󶓅	D6-02502
󶓆	D6-02503
󶓇	D6-02504
󶓈	D6-02505
󶓉	D6-02506
󶓊	D6-02507
󶓋	D6-02601
󶓌	D6-02602
󶓍	D6-02603
󶓎	D6-02604
󶓏	D6-02605
󶓐	D6-02606
󶓑	D6-02607
󶓒	D6-02701
󶓓	D6-02702
󶓔	D6-02703
󶓕	D6-02704
󶓖	D6-02705
󶓗	D6-02706
󶓘	D6-02801
󶓙	D6-02802
󶓚	D6-02803
󶓛	D6-02804
󶓜	D6-02805
󶓝	D6-02901
󶓞	D6-02902
󶓟	D6-02903
󶓠	D6-02904
󶓡	D6-02905
󶓢	D6-02906
󶓣	D6-02907
󶓤	D6-03001
󶓥	D6-03002
󶓦	D6-03003
󶓧	D6-03004
󶓨	D6-03005
󶓩	D6-03006
󶓪	D6-03101
󶓫	D6-03102
󶓬	D6-03103
󶓭	D6-03104
󶓮	D6-03105
󶓯	D6-03201
󶓰	D6-03202
󶓱	D6-03203
󶓲	D6-03204
󶓳	D6-03205
󶓴	D6-03301
󶓵	D6-03302
󶓶	D6-03303
󶓷	D6-03304
󶓸	D6-03401
󶓹	D6-03402
󶓺	D6-03403
󶓻	D6-03404
󶓼	D6-03405
󶓽	D6-03501
󶓾	D6-03502
󶓿	D6-03503
󶔀	D6-03504
󶔁	D6-03505
󶔂	D6-03506
󶔃	D6-03601
󶔄	D6-03602
󶔅	D6-03603
󶔆	D6-03604
󶔇	D6-03605
󶔈	D6-03606
󶔉	D6-03701
󶔊	D6-03702
󶔋	D6-03703
󶔌	D6-03704
󶔍	D6-03705
󶔎	D6-03706
󶔏	D6-03801
󶔐	D6-03802
󶔑	D6-03803
󶔒	D6-03804
󶔓	D6-03805
󶔔	D6-03901
󶔕	D6-03902
󶔖	D6-03903
󶔗	D6-03904
󶔘	D6-03905
󶔙	D6-04001
󶔚	D6-04002
󶔛	D6-04003
󶔜	D6-04004
󶔝	D6-04005
󶔞	D6-04101
󶔟	D6-04102
󶔠	D6-04103
󶔡	D6-04104
󶔢	D6-04105
󶔣	D6-04106
󶔤	D6-04201
󶔥	D6-04202
󶔦	D6-04203
󶔧	D6-04204
󶔨	D6-04205
󶔩	D6-04206
󶔪	D6-04207
󶔫	D6-04301
󶔬	D6-04302
󶔭	D6-04303
󶔮	D6-04304
󶔯	D6-04305
󶔰	D6-04306
󶔱	D6-04401
󶔲	D6-04402
󶔳	D6-04403
󶔴	D6-04404
󶔵	D6-04405
󶔶	D6-04501
󶔷	D6-04502
󶔸	D6-04503
󶔹	D6-04504
󶔺	D6-04505
󶔻	D6-04506
󶔼	D6-04507
󶔽	D6-04601
󶔾	D6-04602
󶔿	D6-04603
󶕀	D6-04604
󶕁	D6-04605
󶕂	D6-04606
󶕃	D6-04701
󶕄	D6-04702
󶕅	D6-04703
󶕆	D6-04704
󶕇	D6-04705
󶕈	D6-04801
󶕉	D6-04802
󶕊	D6-04803
󶕋	D6-04804
󶕌	D6-04901
󶕍	D6-04902
󶕎	D6-04903
󶕏	D6-04904
󶕐	D6-04905
󶕑	D6-05001
󶕒	D6-05002
󶕓	D6-05003
󶕔	D6-05004
󶕕	D6-05005
󶕖	D6-05006
󶕗	D6-05101
󶕘	D6-05102
󶕙	D6-05103
󶕚	D6-05104
󶕛	D6-05105
󶕜	D6-05201
󶕝	D6-05202
󶕞	D6-05203
󶕟	D6-05204
󶕠	D6-05205
󶕡	D6-05206
󶕢	D6-05301
󶕣	D6-05302
󶕤	D6-05303
󶕥	D6-05304
󶕦	D6-05305
󶕧	D6-05401
󶕨	D6-05402
󶕩	D6-05403
󶕪	D6-05404
󶕫	D6-05405
󶕬	D6-05406
󶕭	D6-05501
󶕮	D6-05502
󶕯	D6-05503
󶕰	D6-05504
󶕱	D6-05505
󶕲	D6-05601
󶕳	D6-05602
󶕴	D6-05603
󶕵	D6-05604
󶕶	D6-05605
󶕷	D6-05606
󶕸	D6-05701
󶕹	D6-05702
󶕺	D6-05703
󶕻	D6-05704
󶕼	D6-05705
󶕽	D6-05706
󶕾	D6-05707
󶕿	D6-05801
󶖀	D6-05802
󶖁	D6-05803
󶖂	D6-05804
󶖃	D6-05805
󶖄	D6-05806
󶖅	D6-05901
󶖆	D6-05902
󶖇	D6-05903
󶖈	D6-05904
󶖉	D6-05905
󶖊	D6-06001
󶖋	D6-06002
󶖌	D6-06003
󶖍	D6-06004
󶖎	D6-06005
󶖏	D6-06101
󶖐	D6-06102
󶖑	D6-06103
󶖒	D6-06104
󶖓	D6-06105
󶖔	D6-06201
󶖕	D6-06202
󶖖	D6-06203
󶖗	D6-06204
󶖘	D6-06205
󶖙	D6-06206
󶖚	D6-06207
󶖛	D6-06301
󶖜	D6-06302
󶖝	D6-06303
󶖞	D6-06304
󶖟	D6-06305
󶖠	D6-06306
󶖡	D6-06307
󶖢	D6-06401
󶖣	D6-06402
󶖤	D6-06403
󶖥	D6-06404
󶖦	D6-06501
󶖧	D6-06502
󶖨	D6-06503
󶖩	D6-06504
󶖪	D6-06505
󶖫	D6-06506
󶖬	D6-06601
󶖭	D6-06602
󶖮	D6-06603
󶖯	D6-06604
󶖰	D6-06605
󶖱	D6-06701
󶖲	D6-06702
󶖳	D6-06703
󶖴	D6-06704
󶖵	D6-06705
󶖶	D6-06801
󶖷	D6-06802
󶖸	D6-06803
󶖹	D6-06804
󶖺	D6-06805
󶖻	D6-06806
󶖼	D6-06901
󶖽	D6-06902
󶖾	D6-06903
󶖿	D6-06904
󶗀	D6-06905
󶗁	D6-07001
󶗂	D6-07002
󶗃	D6-07003
󶗄	D6-07004
󶗅	D6-07005
󶗆	D6-07006
󶗇	D6-07101
󶗈	D6-07102
󶗉	D6-07103
󶗊	D6-07104
󶗋	D6-07201
󶗌	D6-07202
󶗍	D6-07203
󶗎	D6-07204
󶗏	D6-07205
󶗐	D6-07206
󶗑	D6-07301
󶗒	D6-07302
󶗓	D6-07303
󶗔	D6-07304
󶗕	D6-07305
󶗖	D6-07401
󶗗	D6-07402
󶗘	D6-07403
󶗙	D6-07404
󶗚	D6-07405
󶗛	D6-07501
󶗜	D6-07502
󶗝	D6-07503
󶗞	D6-07504
󶗟	D6-07601
󶗠	D6-07602
󶗡	D6-07603
󶗢	D6-07604
󶗣	D6-07605
󶗤	D6-07701
󶗥	D6-07702
󶗦	D6-07703
󶗧	D6-07704
󶗨	D6-07705
󶗩	D6-07801
󶗪	D6-07802
󶗫	D6-07803
󶗬	D6-07804
󶗭	D6-07901
󶗮	D6-07902
󶗯	D6-07903
󶗰	D6-07904
󶗱	D6-07905
󶗲	D6-08001
󶗳	D6-08002
󶗴	D6-08003
󶗵	D6-08004
󶗶	D6-08005
󶗷	D6-08101
󶗸	D6-08102
󶗹	D6-08103
󶗺	D6-08104
󶗻	D6-08105
󶗼	D6-08201
󶗽	D6-08202
󶗾	D6-08203
󶗿	D6-08204
󶘀	D6-08301
󶘁	D6-08302
󶘂	D6-08303
󶘃	D6-08304
󶘄	D6-08305
󶘅	D6-08401
󶘆	D6-08402
󶘇	D6-08403
󶘈	D6-08404
󶘉	D6-08405
󶘊	D6-08406
󶘋	D6-08501
󶘌	D6-08502
󶘍	D6-08503
󶘎	D6-08504
󶘏	D6-08505
󶘐	D6-08506
󶘑	D6-08601
󶘒	D6-08602
󶘓	D6-08603
󶘔	D6-08604
󶘕	D6-08605
󶘖	D6-08701
󶘗	D6-08702
󶘘	D6-08703
󶘙	D6-08704
󶘚	D6-08705
󶘛	D6-08706
󶘜	D6-08707
󶘝	D6-08801
󶘞	D6-08802
󶘟	D6-08803
󶘠	D6-08804
󶘡	D6-08805
󶘢	D6-08806
󶘣	D6-08807
󶘤	D6-08901
󶘥	D6-08902
󶘦	D6-08903
󶘧	D6-08904
󶘨	D6-09001
󶘩	D6-09002
󶘪	D6-09003
󶘫	D6-09004
󶘬	D6-09005
󶘭	D6-09006
󶘮	D6-09101
󶘯	D6-09102
󶘰	D6-09103
󶘱	D6-09104
󶘲	D6-09105
󶘳	D6-09106
󶘴	D6-09107
󶘵	D6-09201
󶘶	D6-09202
󶘷	D6-09203
󶘸	D6-09204
󶘹	D6-09205
󶘺	D6-09206
󶘻	D6-09207
󶘼	D6-09208
󶘽	D6-09301
󶘾	D6-09302
󶘿	D6-09303
󶙀	D6-09304
󶙁	D6-09401
󶙂	D6-09402
󶙃	D6-09403
󶙄	D6-09404
󶙅	D6-09405
󶙆	D6-09406
󶙇	D6-09501
󶙈	D6-09502
󶙉	D6-09503
󶙊	D6-09504
󶙋	D6-09505
󶙌	D6-09601
󶙍	D6-09602
󶙎	D6-09603
󶙏	D6-09604
󶙐	D6-09605
󶙑	D6-09701
󶙒	D6-09702
󶙓	D6-09703
󶙔	D6-09704
󶙕	D6-09705
󶙖	D6-09801
󶙗	D6-09802
󶙘	D6-09803
󶙙	D6-09804
󶙚	D6-09805
󶙛	D6-09806
󶙜	D6-09901
󶙝	D6-09902
󶙞	D6-09903
󶙟	D6-09904
󶙠	D6-09905
󶙡	D6-10001
󶙢	D6-10002
󶙣	D6-10003
󶙤	D6-10004
󶙥	D6-10005
󶙦	D6-10006
󶙧	D6-10101
󶙨	D6-10102
󶙩	D6-10103
󶙪	D6-10104
󶙫	D6-10105
󶙬	D6-10106
󶙭	D6-10201
󶙮	D6-10202
󶙯	D6-10203
󶙰	D6-10204
󶙱	D6-10205
󶙲	D6-10301
󶙳	D6-10302
󶙴	D6-10303
󶙵	D6-10304
󶙶	D6-10305
󶙷	D6-10306
󶙸	D6-10307
󶙹	D6-10401
󶙺	D6-10402
󶙻	D6-10403
󶙼	D6-10404
󶙽	D6-10405
󶙾	D6-10501
󶙿	D6-10502
󶚀	D6-10503
󶚁	D6-10504
󶚂	D6-10601
󶚃	D6-10602
󶚄	D6-10603
󶚅	D6-10604
󶚆	D6-10701
󶚇	D6-10702
󶚈	D6-10703
󶚉	D6-10704
󶚊	D6-10705
󶚋	D6-10801
󶚌	D6-10802
󶚍	D6-10803
󶚎	D6-10901
󶚏	D6-10902
󶚐	D6-10903
󶚑	D6-10904
󶚒	D6-11001
󶚓	D6-11002
󶚔	D6-11003
󶚕	D6-11004
󶚖	D6-11005
󶚗	D6-11101
󶚘	D6-11102
󶚙	D6-11103
󶚚	D6-11104
󶚛	D6-11105
󶚜	D6-11106
󶚝	D6-11107
󶚞	D6-11201
󶚟	D6-11202
󶚠	D6-11203
󶚡	D6-11204
󶚢	D6-11205
󶚣	D6-11206
󶚤	D6-11301
󶚥	D6-11302
󶚦	D6-11303
󶚧	D6-11304
󶚨	D6-11305
󶚩	D6-11401
󶚪	D6-11402
󶚫	D6-11403
󶚬	D6-11404
󶚭	D6-11405
󶚮	D6-11501
󶚯	D6-11502
󶚰	D6-11503
󶚱	D6-11504
󶚲	D6-11505
󶚳	D6-11601
󶚴	D6-11602
󶚵	D6-11603
󶚶	D6-11604
󶚷	D6-11605
󶚸	D6-11701
󶚹	D6-11702
󶚺	D6-11703
󶚻	D6-11704
󶚼	D6-11801
󶚽	D6-11802
󶚾	D6-11803
󶚿	D6-11804
󶛀	D6-11805
󶛁	D6-11806
󶛂	D6-11807
󶛃	D6-11901
󶛄	D6-11902
󶛅	D6-11903
󶛆	D6-11904
󶛇	D6-11905
󶛈	D6-11906
󶛉	D6-12001
󶛊	D6-12002
󶛋	D6-12003
󶛌	D6-12004
󶛍	D6-12101
󶛎	D6-12102
󶛏	D6-12103
󶛐	D6-12104
󶛑	D6-12105
󶛒	D6-12106
󶛓	D6-12107
󶛔	D6-12201
󶛕	D6-12202
󶛖	D6-12203
󶛗	D6-12204
󶛘	D6-12205
󶛙	D6-12301
󶛚	D6-12302
󶛛	D6-12303
󶛜	D6-12304
󶛝	D6-12305
󶛞	D6-12306
󶛟	D6-12401
󶛠	D6-12402
󶛡	D6-12403
󶛢	D6-12404
󶛣	D6-12501
󶛤	D6-12502
󶛥	D6-12503
󶛦	D6-12504
󶛧	D6-12505
󶛨	D6-12601
󶛩	D6-12602
󶛪	D6-12603
󶛫	D6-12604
󶛬	D6-12605
󶛭	D6-12606
󶛮	D6-12607
󶛯	D6-12701
󶛰	D6-12702
󶛱	D6-12703
󶛲	D6-12704
󶛳	D6-12801
󶛴	D6-12802
󶛵	D6-12803
󶛶	D6-12804
󶛷	D6-12805
󶛸	D6-12806
󶛹	D6-12901
󶛺	D6-12902
󶛻	D6-12903
󶛼	D6-12904
󶛽	D6-12905
󶛾	D6-13001
󶛿	D6-13002
󶜀	D6-13003
󶜁	D6-13004
󶜂	D6-13005
󶜃	D6-13101
󶜄	D6-13102
󶜅	D6-13103
󶜆	D6-13104
󶜇	D6-13105
󶜈	D6-13106
󶜉	D6-13201
󶜊	D6-13202
󶜋	D6-13203
󶜌	D6-13204
󶜍	D6-13205
󶜎	D6-13206
󶜏	D6-13301
󶜐	D6-13302
󶜑	D6-13303
󶜒	D6-13304
󶜓	D6-13401
󶜔	D6-13402
󶜕	D6-13403
󶜖	D6-13404
󶜗	D6-13405
󶜘	D6-13406
󶜙	D6-13501
󶜚	D6-13502
󶜛	D6-13503
󶜜	D6-13504
󶜝	D6-13505
󶜞	D6-13601
󶜟	D6-13602
󶜠	D6-13603
󶜡	D6-13701
󶜢	D6-13702
󶜣	D6-13703
󶜤	D6-13704
󶜥	D6-13705
󶜦	D6-13801
󶜧	D6-13802
󶜨	D6-13803
󶜩	D6-13804
󶜪	D6-13901
󶜫	D6-13902
󶜬	D6-13903
󶜭	D6-13904
󶜮	D6-13905
󶜯	D6-14001
󶜰	D6-14002
󶜱	D6-14003
󶜲	D6-14004
󶜳	D6-14101
󶜴	D6-14102
󶜵	D6-14103
󶜶	D6-14104
󶜷	D6-14201
󶜸	D6-14202
󶜹	D6-14203
󶜺	D6-14204
󶜻	D6-14301
󶜼	D6-14302
󶜽	D6-14303
󶜾	D6-14304
󶜿	D6-14401
󶝀	D6-14402
󶝁	D6-14403
󶝂	D6-14404
󶝃	D6-14501
󶝄	D6-14502
󶝅	D6-14503
󶝆	D6-14504
󶝇	D6-14601
󶝈	D6-14602
󶝉	D6-14603
󶝊	D6-14701
󶝋	D6-14702
󶝌	D6-14703
󶝍	D6-14704
󶝎	D6-14801
󶝏	D6-14802
󶝐	D6-14803
󶝑	D6-14804
󶝒	D6-14805
󶝓	D6-14806
󶝔	D6-14901
󶝕	D6-14902
󶝖	D6-14903
󶝗	D6-14904
󶝘	D6-14905
󶝙	D6-14906
󶝚	D6-15001
󶝛	D6-15002
󶝜	D6-15003
󶝝	D6-15004
󶝞	D6-15005
󶝟	D6-15006
󶝠	D6-15007
󶝡	D6-15101
󶝢	D6-15102
󶝣	D6-15103
󶝤	D6-15104
󶝥	D6-15105
󶝦	D6-15106
󶝧	D6-15107
󶝨	D6-15201
󶝩	D6-15202
󶝪	D6-15203
󶝫	D6-15204
󶝬	D6-15205
󶝭	D6-15206
󶝮	D6-15207
󶝯	D6-15208
󶝰	D6-15301
󶝱	D6-15302
