glyph_unified	src_ref	pronunciation	meaning
떸	U0-33207	kʰe⁵⁵	栓，捆。
뇳	U0-33208	kʰe³³	北。
뇴	U0-33209	kʰe³³	糠。
뇵	U0-33210	kʰe³³	记，忆。
뷒	U0-33211	kʰe²¹	线。丝。
떹	U0-33301	kʰe²¹	土坎。
냏	U0-33302	kʰe²¹	背部。
뇶	U0-33303	kʰe²¹	〖灰尘〗。
뷼	U0-33304	kʰɑ⁵⁵	点（播）。
봝	U0-33305	kʰɑ⁵⁵	〖哪里〗。
묧	U0-33306	kʰɑ⁵⁵	（象声词）〖放声大笑〗。
묰	U0-33307	kʰɑ³³	（寿）龄。
뒷	U0-33308	kʰɑ³³	筐，箩，笼（名词，量词）。
뛄	U0-33309	kʰɑ³³	村寨。
넻	U0-33310	kʰɑ³³	抖（掉）。
륉	U0-33401	kʰɑ³³	硬。狠。难。〖结实〗。
븬	U0-33402	kʰɑ³³	（价）贵。
뇷	U0-33403	kʰɑ³³	英勇，顽强。
멗	U0-33404	kʰɑ³³	（接物发语词）〖噢，给我〗。
륳	U0-33405	kʰɑ³³	（词头）〖脸〗。
둋	U0-33406	kʰɑ¹³	簸，〖簸稻谷〗。
뷶	U0-33407	kʰɑ²¹	张（口）。
븭	U0-33408	kʰᴀ³³	扛（自动）。使…扛。
뒆	U0-33409	kʰo⁵⁵	槽。
나	U0-33410	kʰo⁵⁵	〖镰刀〗。
뤓	U0-33501	kʰo³³	罩。
뿁	U0-33502	kʰo³³	〖口粮〗。
뙊	U0-33503	kʰo³³	帽。
뵌	U0-33504	kʰo³³	瓢。
늈	U0-33505	kʰo³³	搔。
뢑	U0-33506	kʰo³³	抠。
뎝	U0-33507	kʰo¹³	征（税）。
맃	U0-33508	kʰo¹³	年。岁。
빵	U0-33509	kʰo¹³	扳。
륊	U0-33510	kʰo¹³	校（正）。
뙋	U0-33511	kʰo²¹	粮，〖粮食，食品〗。
몕	U0-33601	kʰo²¹	〖家具〗。
볇	U0-33602	kʰo²¹	燕。
