glyph_unified	src_ref	pronunciation	meaning
󵜬	D2-0109	tʰə³³	（～lə³³）躯干，全身，身体。
󵜭	D2-0110	sə³³	蒜。
󵜮	D2-0111	t͡ʂə⁵⁵	梯子，楼梯。
󵜯	D2-0112	d͡zu²¹	（ku³³～）灶。
󵜰	D2-0113	fɛ³³	发（病）。
󵜱	D2-0114	t͡ʂʰu³³	枪。
󵜲	D2-0115	pia²¹	（说）成，（做）成。
󵜳	D2-0116	t͡ʂʰɯ²¹	仇人，敌人。
󵜴	D2-0117	mia²¹	占卜。
󵜵	D2-0118	ʂɛ⁵⁵	（用火）烫，燎，烧。
󵜶	D2-0119	ʑo²¹	穿戴漂亮。
󵜷	D2-0120	kʰu²¹	喉（结），喉结。
󵜸	D2-0121	ka²¹	肉（小孩语）。
󵜹	D2-0122	ʑo²¹	旺盛，隆重，发达。
󵜺	D2-0123	pʰu²¹	松，放松。
󵜻	D2-0124	t͡ɕʰu³³	（lu⁵⁵～）（裤）腰。
󵜼	D2-0125	t͡sɛ³³	（～lɛ³³）火把节。
󵜽	D2-0126	t͡sʰu³³	（fu³³～）葱。
󵜾	D2-0127	me⁵⁵	甑子，蒸（饭）。
󵜿	D2-0128	se⁵⁵	杀（鸡）。
󵝀	D2-0129	t͡ɕa³³	耙（名词，动词）。
󵝁	D2-0130	ʂa³³	麦芽糖。
󵝂	D2-0131	mo²¹	百合。
󵝃	D2-0132	tə³³	（吃）着。
󵝄	D2-0133	bia²¹	（闪）电。
󵝅	D2-0134	t͡sʰe³³	（～mi³³）清。
󵝆	D2-0135	do³³	行，能，可以。
󵝇	D2-0136	pə³³	堆（动词，量词），壅（土）。
󵝈	D2-0137	ve³³	开（花），花。
󵝉	D2-0138	pa²¹	（脚）绊，撞（在地上）。
󵝊	D2-0139	t͡ʂʰu³³	秋（天）。
󵝋	D2-0140	pʰa⁵⁵	轮，（车）轮。
󵝌	D2-0141	t͡ʂʰa³³	（牲口）下（儿），（牲畜）生（儿）。
󵝍	D2-0142	t͡sʰi⁵⁵	（未生儿的）小母猪。
󵝎	D2-0143	mi³³	（t͡sʰe³³～）明。
󵝏	D2-0144	le³³	来。
󵝐	D2-0145	le⁵⁵	为，为了。
󵝑	D2-0146	d͡zɛ²¹	（分腿）跨（在马背和墙头上）。
󵝒	D2-0147	ma²¹	旧。
󵝓	D2-0148	d͡ʑu³³	瘦。
󵝔	D2-0149	t͡sʰi²¹	锁（衣边）。
󵝕	D2-0150	te³³	抱（柴），端（碗）。
󵝖	D2-0151	pɯ³³	（dɛ²¹～）包。
󵝗	D2-0152	kʰo³³	兜嘴。
󵝘	D2-0153	di³³	到达。
󵝙	D2-0154	kʰɯ²¹	偷。
󵝚	D2-0155	mɯ²¹	（ɣu³³～）猫。
󵝛	D2-0156	t͡ɕa⁵⁵	（si³³～）细柴树枝。
󵝜	D2-0157	du²¹	（肚脐）眼。
󵝝	D2-0158	o²¹	雪。
󵝞	D2-0159	la³³	早上。
󵝟	D2-0160	tu⁵⁵	（a⁵⁵～）火，点（火）。
󵝠	D2-0161	bɯ²¹	霉。
󵝡	D2-0162	lu³³	火塘石。
󵝢	D2-0163	t͡ʂʰɯ³³	（甘）蔗，甘蔗。
󵝣	D2-0164	pʰiɛ²¹	（猪）咬（架）。
󵝤	D2-0165	a⁵⁵	（～tu⁵⁵）火。
󵝥	D2-0166	di²¹	想，思考，思索。
󵝦	D2-0167	t͡ʂuɛ²¹	猛，狠，用力。
󵝧	D2-0168	t͡sʰə³³	请（坐）。
󵝨	D2-0169	t͡ʂa³³	（尿）胀，（屎）胀。
󵝩	D2-0170	ʑu³³	（一）位，（一）个（人）。
󵝪	D2-0171	tʰə³³	传达，告诉。
󵝫	D2-0172	mo³³	（t͡si⁵⁵～）（锄）头，锄头。
󵝬	D2-0173	tʰe²¹	（天）亮。
󵝭	D2-0174	t͡ʂʰo³³	（布）幅，块（量词）。
󵝮	D2-0175	ŋə²¹	岩子。
󵝯	D2-0176	la³³	（犁地时）调头。
󵝰	D2-0177	sɛ⁵⁵	赛（马）。
󵝱	D2-0178	mɛ²¹	（夫）妻。
󵝲	D2-0179	ʑi³³	去。
󵝳	D2-0180	su³³	别人，人家。
󵝴	D2-0181	lə⁵⁵	换（换掉同一样东西）。
󵝵	D2-0182	so²¹	（打）记号。
󵝶	D2-0183	ka³³	烤（火）。
󵝷	D2-0184	le³³	（没有他）大，（多）大，一样大。
󵝸	D2-0185	mə³³	够（得着），（来得）及。
󵝹	D2-0186	bə³³	倍，份。
󵝺	D2-0187	d͡ʐɯ³³	（mɑ²¹～）没关系。
󵝻	D2-0188	pʰə³³	（脊）背，（房）顶。
󵝼	D2-0189	ko³³	（～lo³³）困（难），困难，困苦，艰难。
󵝽	D2-0190	kʰo³³	（d͡zo²¹～）口粮，粮食。
󵝾	D2-0191	mɯ³³	菌子。
󵝿	D2-0192	d͡zɛ³³	（竹）席。
󵞀	D2-0193	kʰu²¹	（t͡ɕi⁵⁵～）箕，筲箕。
󵞁	D2-0194	no⁵⁵	小米。
󵞂	D2-0195	dɛ²¹	黏，粘稠。
󵞃	D2-0196	si²¹	好（过），好（穿），愉快，高兴。
󵞄	D2-0197	ɣu³³	（～mɯ²¹）猫。
󵞅	D2-0198	t͡ʂʰɯ²¹	腐烂，朽。
󵞆	D2-0199	fɛ³³	腮腺炎（脖子肿的一种病）。
󵞇	D2-0200	di²¹	肥沃，丰收年，（土地）肥沃。
󵞈	D2-0201	t͡si⁵⁵	（世）代，（用手）掐。
󵞉	D2-0202	d͡zi²¹	跪。
󵞊	D2-0203	t͡si³³	（鱼）鳞。
󵞋	D2-0204	be³³	（一）桩（事）。
󵞌	D2-0205	be³³	（le³³～）（脖）子脖子。
󵞍	D2-0206	ʂi³³	（笑）眯眯。
󵞎	D2-0207	tʰu²¹	（细雨）蒙蒙。
󵞏	D2-0208	kɯ⁵⁵	（～kɯ⁵⁵）（现）在，现在。
󵞐	D2-0209	d͡ʑi²¹	铜。
󵞑	D2-0210	bi³³	黄浓（水）。
󵞒	D2-0211	mɜ²¹	姑娘，女孩。
󵞓	D2-0212	ka³³	（这）里。
󵞔	D2-0213	le²¹	手。
󵞕	D2-0214	fu²¹	吹（风）。
󵞖	D2-0215	də²¹	（～pɯ³³）鸽（子），鸽子，斑鸠。
󵞗	D2-0216	pʰu³³	解（绳子）。
󵞘	D2-0217	t͡sʰu⁵⁵	（吃的东西）脆。
󵞙	D2-0218	nə³³	春，春天。
󵞚	D2-0219	tə³³	（mə⁵⁵～）（尾）巴。
󵞛	D2-0220	li³³	扬（谷子）。
󵞜	D2-0221	bi³³	（～ȵi⁵⁵）燕（子），燕子。
󵞝	D2-0222	ȵi²¹	（sɛ²¹～）（栗）炭，木炭。
󵞞	D2-0223	t͡ɕu³³	云雀。
󵞟	D2-0224	di²¹	顺（畅），顺畅。
󵞠	D2-0225	t͡sʰi³³	（眼）辣（病），辣疼。
󵞡	D2-0226	kʰu²¹	（～mɑ³³）芝（麻），芝麻。
󵞢	D2-0227	t͡ɕʰe³³	稻谷。
󵞣	D2-0228	ɕe³³	夏。
󵞤	D2-0229	tʰo⁵⁵	（～sɑ³³）当（然）（肯定的语气）。
󵞥	D2-0230	t͡ʂʰo²¹	打搅，忙乱，吵闹。
󵞦	D2-0231	d͡ʑa³³	（ȵi³³～），（可）怜，可怜。
󵞧	D2-0232	tu⁵⁵	编造（谣言），欺骗，骗。
󵞨	D2-0233	t͡ʂʰɯ⁵⁵	焦（煳臭），糊。
󵞩	D2-0234	kə⁵⁵	铁（核桃）。
󵞪	D2-0235	pa³³	（一）根（棍子）。
󵞫	D2-0236	be³³	说，讲。
󵞬	D2-0237	kʰa⁵⁵	舀。
󵞭	D2-0238	t͡sʰu²¹	冬。
󵞮	D2-0239	fu³³	（～t͡sʰu³³）葱。
󵞯	D2-0240	mə⁵⁵	自己，各人。
󵝼	D2-0241	t͡ɕi³³	愁。
󵞱	D2-0242	vu³³	（nɑ³³～）谢谢。
󵞲	D2-0243	vu²¹	卖。
󵞳	D2-0244	kʰiɛ³³	村寨。
󵞴	D2-0245	tʰə⁵⁵	哈（人）。
󵞵	D2-0246	hia²¹	（煮）烂。
󵞶	D2-0247	t͡ɕʰi³³	（鸟）窝（蜂～）。
󵞷	D2-0248	t͡ʂʰɯ²¹	借（钱），借（粮），（借后还同等价值）。
󵞸	D2-0249	mə⁵⁵	尾（巴）。
󵞹	D2-0250	ve³³	背子，（一）背（柴）。
󵞺	D2-0251	ka³³	亲（兄弟）。
󵞻	D2-0252	pʰu²¹	（饭）涨。
󵞼	D2-0253	mia⁵⁵	闲（着），给得闲。
󵞽	D2-0254	li³³	快快走。
󵞾	D2-0255	ʑo³³	软困全身无力，软，困乏病疼状。
󵞿	D2-0256	pə⁵⁵	（豆腐）渣。
󵟀	D2-0257	vu²¹	远。
󵟁	D2-0258	tʰu³³	割（蜂蜜），（蛇）咬。
󵟂	D2-0259	t͡ʂɯ³³	铝。
󵟃	D2-0260	t͡ɕe³³	劝，劝开，劝架。
󵟄	D2-0261	to²¹	石阶，台阶。
󵟅	D2-0262	t͡si³³	（蜂子）蜇（着）。
󵟆	D2-0263	mɛ²¹	（～lɛ²¹hɑ³³）蝙（蝠），蝙蝠。
󵟇	D2-0264	bɯ²¹	（～ʑo³³）蚂（蚁），蚂蚁。
󵟈	D2-0265	li³³	私房（财产）。
󵟉	D2-0266	ɡo²¹	披（自动）。
󵟊	D2-0267	ʑo⁵⁵	（～t͡sə³³）天井，院子。
󵟋	D2-0268	tʰɛ³³	（～le³³）飘飘然。
󵟌	D2-0269	tʰe³³	（气）瘪，不饱满干瘪。
󵟍	D2-0270	tʰe²¹	一。
󵟎	D2-0271	ȵi²¹	二。
󵟏	D2-0272	t͡sʰi³³	眨（眼）。
󵟐	D2-0273	t͡sʰe³³	十。
󵟑	D2-0274	sɛ⁵⁵	认识，知道，懂。
󵟒	D2-0275	ʑɛ²¹	他，它。
󵟓	D2-0276	pə³³	（雨）停。
󵟔	D2-0277	du²¹	长工，雇工。
󵟕	D2-0278	du²¹	（t͡sʰə³³～）碓。
󵟖	D2-0279	d͡ze³³	结实，牢固。
󵟗	D2-0280	po³³	（～kʰiɛ³³）芦（苇），芦苇。
󵟘	D2-0281	pɯ³³	捏（成团）。
󵟙	D2-0282	ŋe³³	摇（树）（使动），人或动物去摇。
󵟚	D2-0283	kʰiɛ²¹	剖（肚子）。
󵟛	D2-0284	tʰu³³	扣，下（鸟），下（套），引诱，诱骗。
󵟜	D2-0285	ɣɯ²¹	（sɛ²¹～）桃，桃子，樱桃。
󵟝	D2-0286	ɣa²¹	（no³³～）豌豆。
󵟞	D2-0287	ko³³	树杈。
󵟟	D2-0288	sə³³	人生，一生。
󵟠	D2-0289	pʰe²¹	（t͡sʰo²¹～）（土）垡，土垡。
󵟡	D2-0290	dɛ³³	剪（刀）。
󵟢	D2-0291	ɡiɛ²¹	痒子。
󵟣	D2-0292	so³³	三。
󵟤	D2-0293	kʰɯ²¹	（ɑ⁵⁵～）烟子，火烟。
󵟥	D2-0294	ȵi³³	天，日，（一）日。
󵟦	D2-0295	tʰa²¹	（～ɣɯ²¹）纸。
󵟧	D2-0296	t͡su⁵⁵	反扣（碗），盖住。
󵟨	D2-0297	ho²¹	肉。
󵟩	D2-0298	nə³³	（～ȵi³³）闻（用鼻子～）。
󵟪	D2-0299	fə³³	干涸，干旱。
󵟫	D2-0300	li²¹	重。
󵟬	D2-0301	d͡ʐə³³	斜，歪，走线。
󵟭	D2-0302	tə³³	直。
󵟮	D2-0303	d͡ʑi²¹	柜子。
󵟯	D2-0304	su⁵⁵	书文字。
󵟰	D2-0305	lə³³	（bə³³～～）（亮）堂堂。
󵟱	D2-0306	t͡ʂʰə³³	插（在地上）。
󵟲	D2-0307	d͡ʑo³³	下（雪），成功，做成。
󵟳	D2-0308	tə³³	中，（打）着。
󵟴	D2-0309	ʑe³³	（路）滑。
󵟵	D2-0310	ȵi³³	红。
󵟶	D2-0311	be³³	厩，面房，圈。
󵟷	D2-0312	t͡ʂʰo³³	（一）堵（云）。
󵟸	D2-0313	se³³	牵（牛），（～人）。
󵟹	D2-0314	biu³³	（点）着，燃着，燃起来，烧起来。
󵟺	D2-0315	tʰa²¹	青松，松树。
󵟻	D2-0316	ua⁵⁵	眺望，看，看远处。
󵟼	D2-0317	ɣɑ²¹	（do³³～）蕨（菜）。
󵟽	D2-0318	ti⁵⁵	单数（双）。
󵟾	D2-0319	tu²¹	撑顶（门），托（腮巴），拄（动词）。
󵟿	D2-0320	χia³³	挤（牛奶），从上往下挤。
󵠀	D2-0321	ma³³	尸体，死尸。
󵠁	D2-0322	bɯ⁵⁵	敢（做）。
󵠂	D2-0323	du³³	（ɡu³³～）（前）后，后面。
󵠃	D2-0324	a²¹	昨（天），词头（表示尊称）。
󵠄	D2-0325	ve²¹	穿（衣），穿（着）。
󵠅	D2-0326	ta⁵⁵	（拿）着，持着（枪）。
󵠆	D2-0327	t͡ʂa³³	（～bu³³）蚂蚱。
󵠇	D2-0328	o³³	得到。
󵠈	D2-0329	mu³³	做，干（活）。
󵠉	D2-0330	mə³³	不如（人家），比不上，不及。
󵠊	D2-0331	fe³³	西（方）。
󵠋	D2-0332	ɣo⁵⁵	东（方）。
󵠌	D2-0333	də²¹	（d͡zo²¹～）租子。
󵠍	D2-0334	d͡ʐu³³	（no⁵⁵～）（耳）环，耳环。
󵠎	D2-0335	li⁵⁵	（tɛ²¹～）包包，口袋。
󵠏	D2-0336	t͡ʂʰə³³	（多）久。
󵠐	D2-0337	d͡ʑe²¹	（～pʰe²¹）钱币。
󵠑	D2-0338	ȵi³³	（nə³³～kʰu⁵⁵）后（年）。
󵠒	D2-0339	ɕi²¹	七，柒。
󵠓	D2-0340	ɡɯ³³	囚禁（自动），回归。
󵠔	D2-0341	ve⁵⁵	想，要想（打之义）。
󵠕	D2-0342	ŋe³³	（～mɑ²¹）弟弟。
󵠖	D2-0343	t͡ʂa³³	（打）转转，绕（路）。
