glyph_unified	src_ref	pronunciation	meaning
쑧	D0-03415	pɤ²¹	（肺）肚子。
쑨	D0-03416	pɤ²¹	倒（使动）。
쑩	D0-03417	pɤ²¹	本（量词）。
쑪	D0-03501	pɤ̰²¹	渣。
쑫	D0-03502	pɤ̰²¹	结杆草。
쑬	D0-03503	pʰi⁵⁵/pʰi³³/pʰi²¹	pi。【淠河】，【譬如】…
쑭	D0-03504	pʰi³³	唇。
쑮	D0-03505	pʰi³³	妣；奶；婆。
쑯	D0-03506	pʰi³³	顺畅。
쑰	D0-03507	pʰḭ³³	招。
쑱	D0-03508	pʰḭ³³	扒；拔；刨。
쑲	D0-03601	pʰḭ²¹/pæ̰²¹	排；放（水）。
쑳	D0-03602	pʰḭ²¹	呕吐。
쑴	D0-03603	pʰḭ²¹/pʰḛ²¹	后（天）。
쑵	D0-03604	pʰiæn⁵⁵/pʰiæn³³/pʰiæn²¹	pian。【片段】，【片刻】…
쑶	D0-03701	pʰiɑu⁵⁵/pʰiɑu³³/pʰiɑu²¹	piao。【票额】，【票房】…
쑷	D0-03702	pʰiɛ³³/pʰiɛ²¹	pie。【撇开】，【苤蓝】…
쑸	D0-03801	pʰin⁵⁵/pʰin³³/pʰin²¹	pin。【聘礼】，【聘请】…
쑸	D0-03901	pʰiŋ³³/pʰiŋ²¹	ping。【乒乓】，【乒乓球】…
쑺	D0-04001	pʰe⁵⁵	剖。
쑻	D0-04002	pʰe⁵⁵	毛手毛脚。
쑼	D0-04003	pʰe⁵⁵	边、面（方位词）。
쑽	D0-04004	pʰe⁵⁵	配；聘。
쑾	D0-04005	pʰe⁵⁵	瓢。
쑿	D0-04006	pʰe⁵⁵	钹（打击乐器）。
쒀	D0-04007	pʰe⁵⁵	破。
쒁	D0-04008	pʰe³³	臼。
쒂	D0-04009	pʰe³³	页；张（量词）。
쒃	D0-04010	pʰe³³	升（容量单位，名词，量词）。
쒄	D0-04011	pʰe³³	参；拼。
쒅	D0-04012	pʰḛ³³	只（量词）。
쒆	D0-04013	pʰḛ³³	杆；臂。
쒇	D0-04014	pʰḛ³³/pe³³	半；平。
쒈	D0-04015	pʰe²¹	另；其他。
췖	D0-04101	pʰe²¹	泼；洒。
쒊	D0-04102	pʰe²¹	吐。
쒋	D0-04103	pʰe²¹/tæ̰³³	扁。
쒌	D0-04104	pʰe²¹	铺；肤。
쒍	D0-04105	pʰe²¹	浪；抛。
쒎	D0-04106	pʰe²¹	叶。
쒏	D0-04107	pʰḛ²¹	温；平。
쒐	D0-04201	pʰei⁵⁵/pʰei³³/pʰei²¹	pei。【佩服】，【配备】…
쒑	D0-04202	pʰən³³/pʰən²¹	pen。【喷发】，【喷泉】…
쒑	D0-04203	pʰəŋ⁵⁵/pʰəŋ³³/pʰəŋ²¹	peng。【碰壁】，【碰头】…
쒓	D0-04301	pʰɛ⁵⁵	灰（颜色）。
쒔	D0-04302	pʰɛ³³	旗。
쒕	D0-04303	pʰɛ³³	停；散；谢。
쒖	D0-04304	pʰɛ³³	荒；荐；坪。
쒗	D0-04305	pʰɛ³³	废（物）。
쒘	D0-04306	pʰɛ²¹	浑（水）。
쒙	D0-04307	pʰɛ²¹	肩胛。
쒚	D0-04401	pʰɛ²¹	脊。
쒛	D0-04402	pʰɛ²¹	抢；夺。
쒜	D0-04403	pʰɛ²¹	蓝（色）。
쒝	D0-04404	pʰɛ²¹	茯。
쒞	D0-04405	pʰɛ²¹	蒙（细雨）（形容词缀）。
쒟	D0-04406	pʰæ̰³³	浅。
쒠	D0-04407	pʰæ̰³³	掀。
쒡	D0-04408	pʰæ̰³³	掰。
쒢	D0-04409	pʰæ̰³³	剥。
쒣	D0-04410	pʰᴀ⁵⁵	堆（量词）。
쒤	D0-04411	pʰᴀ⁵⁵	爆。
쒥	D0-04501	pʰᴀ³³	泡（松软）。
쒦	D0-04502	pʰᴀ³³/pʰᴀ⁵⁵	pa。【啪嗒】，【帕斯卡】。
쒧	D0-04503	pʰᴀ²¹	逃；让；避。
쒨	D0-04504	pʰᴀ̰²¹	趴。
쒩	D0-04505	pʰai⁵⁵/pʰai³³/pʰai²¹	pai。【派别】，【派送】…
쒪	D0-04601	pʰan⁵⁵/pʰan²¹	pan。【判别】，【判例】…
쒫	D0-04602	pʰau⁵⁵/pʰau²¹	pao。【泡泡糖】，【炮弹】…
쒬	D0-04603	pʰo⁵⁵	猜。
쒭	D0-04701	pʰo⁵⁵	碰；遇。
쒮	D0-04702	pʰo⁵⁵/pʰo²¹	po。【朴树】，【破获】…
쒯	D0-04703	pʰo³³	俩（用于父子关系）（量）。
쒰	D0-04704	pʰo²¹	布。
쒱	D0-04801	pʰo²¹	父。
쒲	D0-04802	pʰo²¹	族；人；者。
쒳	D0-04803	pʰo²¹	丛；蓬（量词）。
쒴	D0-04804	pʰo²¹	挎（包）（名词）。
쒵	D0-04805	pʰu⁵⁵	pu。【铺面】，【铺位】…
쒶	D0-04806	pʰu³³	资；价；值。
쒷	D0-04807	pʰu³³	祖（先）。
쒸	D0-04901	pʰu³³	公；姑。
쒹	D0-04902	pʰu³³	雄；公。
쒺	D0-04903	pʰu³³	仆。
쒻	D0-04904	pʰṵ³³	喷。
쒼	D0-04905	pʰṵ²¹	罩（小鸟）；扑。
욽	D0-04906	pʰṵ²¹	穿（耳）。
쒾	D0-04907	pʰɤ⁵⁵/t͡sʰo⁵⁵	丘（水量）（量词）。
쒿	D0-04908	pʰɤ³³	折（叠）。
쓀	D0-04909	pʰɤ³³	叠。
쓁	D0-04910	pʰɤ³³	多（超出原有和应有的数目）。
쓂	D0-04911	pʰɤ³³	膀胱。
쓃	D0-04912	pʰɤ³³	盘（绳的量词）。
쓄	D0-04913	pʰɤ³³	垡（名词）。
쓅	D0-04914	pʰɤ²¹	躯体。
쓆	D0-04915	pʰɤ²¹/pʰe²¹	板。
쓇	D0-04916	pʰɤ̰²¹	肿。
쓈	D0-04917	pʰɤ̰²¹	柜。
쓉	D0-04918	pʰɤ̰²¹	柏杨树（名词）。
쓊	D0-05001	bi⁵⁵	美人。
쓋	D0-05002	bi⁵⁵	天花。
쓌	D0-05003	bi³³	捞；擂。
쓍	D0-05004	bi²¹	给。
쓎	D0-05005	bi²¹	奖。
쓏	D0-05006	bi²¹	屁。
쓐	D0-05007	bi²¹	蝴。
쓑	D0-05101	bi²¹	颤。
쓒	D0-05102	bḭ²¹	闻（气味）。
쓓	D0-05103	bḭ²¹	走；泄；漏；气。
쓔	D0-05104	bḭ²¹	裂。
쓕	D0-05105	bḭ²¹	绽。
쓖	D0-05106	be³³	散。
쓗	D0-05107	be³³	痰。
쓘	D0-05108	bḛ³³	说；言；谈。
쓙	D0-05109	bḛ³³	当然（语气词）。
쓚	D0-05110	bḛ³³	块（量词）。
쓛	D0-05111	bḛ³³	吧（助词）（一般放在句末）。
쓜	D0-05112	be²¹	毛乱（形容词）。
쓝	D0-05201	be²¹	须。
쓞	D0-05202	be²¹	袋。
쓟	D0-05203	be²¹	狼藉。
쓠	D0-05204	be²¹	烁。
쓡	D0-05205	be²¹	蠕。
쓢	D0-05206	bḛ²¹	颈；脖。
쓣	D0-05207	bɛ⁵⁵	团；圆。
쐮	D0-05208	bɛ³³/pɛ³³	斗（自动）。
쓥	D0-05209	bɛ³³	份（额）（量）。
쓦	D0-05210	bɛ²¹	面份。
쓧	D0-05211	bɛ²¹	笨。
쓨	D0-05212	bɛ²¹	肚脐。
쓩	D0-05213	bɛ²¹	骨头。
쓪	D0-05214	bɛ²¹	野；鸥。
쓫	D0-05301	bɛ²¹	柿。
쓬	D0-05302	bɛ²¹	壶；瓶。
쓭	D0-05303	bɛ²¹	掉；落。
쓮	D0-05304	bɛ²¹	秃。
쓯	D0-05305	bɛ²¹	芝（麻）。
쓰	D0-05306	bɛ²¹	锤。
쓱	D0-05401	bɛ²¹	蒜（百合）。
쓲	D0-05402	bɛ²¹	百（占卜书）。
쓳	D0-05403	bæ̰³³	岔（路）。
쓴	D0-05404	bæ̰³³	弹；射。
쓵	D0-05405	bæ̰³³	脱。
쓶	D0-05406	bæ̰³³	拐；棍。
쓷	D0-05407	bæ̰³³	窗；亮。
쓸	D0-05408	bᴀ⁵⁵	背。
쓹	D0-05501	bᴀ³³	父；爸；爹。
쓺	D0-05502	bᴀ³³	聋。
쓻	D0-05503	bᴀ³³	仓。
쓼	D0-05504	bᴀ²¹	生育。
쓽	D0-05505	bᴀ²¹	骈。
쓾	D0-05506	bᴀ²¹	富。
쓿	D0-05507	bo³³	薄。
씀	D0-05508	bo³³	（松）鼠。
씁	D0-05509	bo³³	旁。
씂	D0-05510	bo³³	颜；脸；面。
씃	D0-05601	bo³³	比。
씄	D0-05602	bo²¹	亮；白。
씅	D0-05603	bo²¹	河。
쒳	D0-05604	bo²¹/pʰo²¹	丛（名词，量词）。
씇	D0-05605	bo²¹	杖；棍；棒。
씈	D0-05606	bo²¹	步。
씉	D0-05607	bo²¹/pɛ⁵⁵	褥。
씊	D0-05608	bo²¹	葵。
씋	D0-05609	bo²¹	【闻听】。
씌	D0-05610	bu⁵⁵	蚂（蚁）。
씍	D0-05701	bu⁵⁵/bu²¹	浮。
씎	D0-05702	bu⁵⁵	飘。
씏	D0-05703	bu³³	拱。
씐	D0-05704	bu³³	蚕；虫。
씑	D0-05801	bu³³	号。
씒	D0-05802	bu³³	萌；牙。
씓	D0-05803	bu³³	公；牯。
씔	D0-05804	bu³³	（木）削。
씕	D0-05805	bṵ³³	墙；堵。
씖	D0-05806	bṵ³³	幅（量词）。
씗	D0-05807	bṵ³³	疮。
씘	D0-05808	bṵ³³	佛；菩萨。
씙	D0-05809	bṵ³³	饱。
씚	D0-05810	bu²¹	背（自动）。
씛	D0-05901	bu²¹	肩；峰；驼。
씜	D0-05902	bu²¹	欠；义务。
씝	D0-05903	bu²¹	通。
씞	D0-05904	bu²¹	啼；鸣；吼。
씟	D0-05905	bṵ²¹	霉。
씠	D0-05906	bṵ²¹	吻。
씡	D0-05907	bṵ²¹	坛；罐。
씢	D0-05908	bṵ²¹	茶罐。
씣	D0-05909	bṵ²¹	嗉。
씤	D0-05910	bɤ⁵⁵	处；里。
씥	D0-05911	bɤ⁵⁵/pɤ⁵⁵	堆（量词）。
씦	D0-05912	bɤ⁵⁵/pɤ²¹	份；分；倍。
씧	D0-05913	bɤ³³	倒（自动）。
씨	D0-05914	bɤ²¹	山。
씩	D0-06001	bɤ²¹	们。
씪	D0-06002	bɤ²¹	葱（的后缀词）。
씫	D0-06003	bɤ²¹	壅；盖；培。
씬	D0-06004	bɤ²¹	（田）埂。
씭	D0-06005	bɤ²¹	赢；胜。
씮	D0-06006	bɤ²¹	膝盖。
씯	D0-06007	bɤ²¹	（松）球。
씰	D0-06008	bɤ²¹	蚯；蛔。
씐	D0-06009	bɤ²¹	虾子。
씲	D0-06101	bɤ²¹	疙（瘩）。
