glyph_unified	src_ref	pronunciation	meaning
󳵰	D1-0001	t͡ɕʰe³³	口，门～，路～，碗～，村～。
󳵱	D1-0002	kʰo̹³³	糠。
󳵲	D1-0003	kʰo̹³³	北，～边。
󳵳	D1-0004		彝文替上符号。
󳵴	D1-0005	ʂḭ²¹	箍，～桶。
󳵵	D1-0006	ɖu³³	穿过，通过，跨过。
󳵶	D1-0007	bo̰²¹	（木）屑（砍的）。
󳵷	D1-0008	kɯ³³	九。
󳵸	D1-0009	t͡ɕʰɯ̰²¹	街子，集市。
󳵹	D1-0010	nɚ²¹	低，矮。
󳵺	D1-0011	nɚ³³	少。
󳵻	D1-0012	dɑ̰²¹	爬，上，初。
󳵼	D1-0013	ko²¹	胫（后脖～）。
󳵽	D1-0014	kɔ³³	中（～间），生命。
󳵾	D1-0015	mo̹³³	挨（～着坐）。
󳵿	D1-0016	fu³³	媒（～人）。
󳶀	D1-0017	nɚ̰⁵⁵	贴，粘，糊（～埂子）。
󳶁	D1-0018	ʂu³³	锯（动词）。
󳶂	D1-0019	ⁿd͡zʰɤ²¹	商量。
󳶃	D1-0020	do²¹	行，能，可以。
󳶄	D1-0021	d͡zḛ⁵⁵	花椒。
󳶅	D1-0022	ŋɚ³³	憨，傻，愚蠢。
󳶆	D1-0023	fo̹⁵⁵	纠缠。
󳶇	D1-0024	mu³³	苍蝇。
󳶈	D1-0025	be³³	散乱。
󳶉	D1-0026	t͡ɕʰɑ̰⁵⁵	弓。
󳶊	D1-0027	bu²¹	队（量词）。
󳶋	D1-0028	xɔ²¹	毛毛（～～路），小路。
󳶌	D1-0029	tʰɤ⁵⁵	放（～水）。
󳶍	D1-0030	tɯ⁵⁵	埋。
󳶎	D1-0031	kʰu³³	请（～客）。
󳶏	D1-0032	t͡sʰɔ²¹	人。
󳶐	D1-0033	ᶮd͡ʑʰi²¹	酒。
󳶑	D1-0034	d͡ʑo̰²¹	怕，害怕。
󳶒	D1-0035	du³³	池塘，井（水～）。
󳶓	D1-0036	ȵɯ⁵⁵	野（～猪）。
󳶔	D1-0037	ⁿdʰɯ²¹	宽敞。
󳶕	D1-0038	pʰo²¹	布。
󳶖	D1-0039	ȵe⁵⁵	外（～面）。
󳶗	D1-0040	tɯ⁵⁵	蹿（野兽～山）。
󳶘	D1-0041	ⁿdʰɤ²¹	阻止，阻挡。
󳶙	D1-0042	mɚ³³	名字，名誉。
󳶚	D1-0043	ʂo̰⁵⁵	①嗑松（～树），②柏树。
󳶛	D1-0044	ŋo³³	①鱼，②借（～物）。
󳶜	D1-0045	vḭ⁵⁵	水蛭，蚂蟥。
󳶝	D1-0046	ᵐbʰṵ⁵⁵	拱（猪～地）。
󳶞	D1-0047	bu²¹	蝴（～蝶），蝴蝶。
󳶟	D1-0048	tʰɤ⁵⁵	放。
󳶠	D1-0049	ȵi³³	也（我～去）。
󳶡	D1-0050	ᵐbʰe³³	衣服。
󳶢	D1-0051	fɔ³³	后，太，（皇～），（官～～）。
󳶣	D1-0052	ŋɯ⁵⁵	瞌（～睡）。
󳶤	D1-0053	ȵɯ³³	牛（黄～）。
󳶥	D1-0054	t͡sɚ̰²¹	炸（～雷）。
󳶦	D1-0055	d͡ze²¹	虾子。
󳶧	D1-0056	bɚ̰²¹	脱（～皮）。
󳶨	D1-0057	sɔ⁵⁵	晴（天～）。
󳶩	D1-0058	lɚ⁵⁵	蟒。
󳶪	D1-0059	ɬe³³	焰（火～），火舌。
󳶫	D1-0060	hi²¹	丑（相貌～）。
󳶬	D1-0061	bɤ²¹	谈（～天），聊（～天）。
󳶭	D1-0062	bɤ²¹	山。
󳶮	D1-0063	ᶯd͡ʐʰɯ³³	冲（用拳～打）。
󳶯	D1-0064	bɤ⁵⁵	在（东西～）。
󳶰	D1-0065	nɚ̰⁵⁵	打滚（猪在塘中打～～）。
󳶱	D1-0066	tʰɑ̰³³	上（～面）。
󳶲	D1-0067	kɯ⁵⁵	下，（～面）。
󳶳	D1-0068	d͡ʑo²¹	件（一～事）。
󳶴	D1-0069	tʰɑ̰²¹	拆。
󳶵	D1-0070	d͡ʑi²¹	太阳。
󳶶	D1-0071	kʰɔ³³	苦，咸（～味）（盐～）。
󳶷	D1-0072	dḛ⁵⁵	燃（自动）。
󳶸	D1-0073	ɣɯ̰⁵⁵	硌（～脚）。
󳶹	D1-0074	xu⁵⁵	缠（小孩～着要东西）。
󳶺	D1-0075	tʰo̰⁵⁵	小母鸡（未下过蛋的～）。
󳶻	D1-0076	xɤ̰⁵⁵	晒蓆，竹蓆。
󳶼	D1-0077	dɤ³³	鞭（牛～）（打牛的～）。
󳶽	D1-0078	t͡se³³	蒜。
󳶾	D1-0079	ⁿd͡zʰe³³	梯子，楼梯。
󳶿	D1-0080	kɤ̰²¹	打扮。
󳷀	D1-0081	pu³³	葱（X～）。
󳷁	D1-0082	bɤ²¹	灶。
󳷂	D1-0083	ne³³	甑子，蒸（～饭）。
󳷃	D1-0084	xo³³	杀（～鸡）。
󳷄	D1-0085	t͡ɕɑ̰²¹	耙（名、动词）。
󳷅	D1-0086	fɚ̰²¹	发（～病）。
󳷆	D1-0087	o⁵⁵	水牛（～牛）。
󳷇	D1-0088	bɤ²¹	堆（动、量），壅（～土）。
󳷈	D1-0089	vḭ²¹	开（～花），花。
󳷉	D1-0090	tɯ⁵⁵	绊（脚～），撞（～在地上）。
󳷊	D1-0091	t͡ʂho̰²¹	秋（～天）。
󳷋	D1-0092	t͡sʰe⁵⁵	下（牲口～儿），生（特指牲畜生儿）。
󳷌	D1-0093	t͡ʂho̰²¹	小母猪（未生儿的）。
󳷍	D1-0094	ɣu²¹	野猫（～X）。
󳷎	D1-0095	ʂe⁵⁵	麦芽糖。
󳷏	D1-0096	no³³	嘛（助词）假如，如果。
󳷐	D1-0097	xɔ²¹	干净（～X），清净。
󳷑	D1-0098	ʔi⁵⁵	百合。
󳷒	D1-0099	to̰⁵⁵	枪。
󳷓	D1-0100	tɔ⁵⁵	着（吃～）。
󳷔	D1-0101	dɤ³³	匹（一～布）。
󳷕	D1-0102	ʂo̰²¹	做（～窝），寻（～踪）。
󳷖	D1-0103	t͡sʰe³³	电（闪～）。
󳷗	D1-0104	t͡sʰe²¹	成（说～、做～）。
󳷘	D1-0105	kʰɔ³³	蒿枝（X～）。
󳷙	D1-0106	d͡ʑi²¹	仇人，敌人。
󳷚	D1-0107	pu³³	豪猪，刺猬。
󳷛	D1-0108	bu³³	垟，墙。
󳷜	D1-0109	ʑi³³	纸（X～）。
󳷝	D1-0110	ⁿd͡zʰɯ³³	土司，官。
󳷞	D1-0111	d͡ʐʰo̹⁵⁵	吊，挂（自动）。
󳷟	D1-0112	dɑ̰²¹	吃（牲口在草地上～草）。
󳷠	D1-0113	ɑ³³	词头。
󳷡	D1-0114	ɣɔ²¹/ɣɔ³³	胀（尿～），（屎～）。
󳷢	D1-0115	ᶮd͡ʑʰi⁵⁵	跨（分腿～在马背和墙头上）。
󳷣	D1-0116	ɬɯ³³	旧。
󳷤	D1-0117	d͡ʑu²¹	瘦。
󳷥	D1-0118	le²¹	来。
󳷦	D1-0119	le³³	为，为了。
󳷧	D1-0120	t͡ʂhɚ³³	锁（～衣边）。
󳷨	D1-0121	t͡ɕʰi³³	到达。
󳷩	D1-0122	kʰɯ³³	偷。
󳷪	D1-0123	nɚ³³	猫（X～）。
󳷫	D1-0124	t͡ɕɔ⁵⁵	细柴，树枝（X～）。
󳷬	D1-0125	du³³	眼（肚脐～）。
󳷭	D1-0126	ɣɤ³³	雪。
󳷮	D1-0127	ɕe³³	早上。
󳷯	D1-0128	to̰⁵⁵	火，点（～火）。
󳷰	D1-0129	hɯ³³	霉。
󳷱	D1-0130	kɔ³³	请（～坐）。
󳷲	D1-0131	ʑo̰²¹	位（一～），个（一～人）。
󳷳	D1-0132	tʰe²¹	传达，告诉。
󳷴	D1-0133	kʰo̰²¹	头（锄头的～）锄头（X～）。
󳷵	D1-0134	tʰe³³	亮（天～）。
󳷶	D1-0135	bo̰²¹	幅（布～）量词，块。
󳷷	D1-0136	fɑ̰⁵⁵	岩子。
󳷸	D1-0137	kʰo̰²¹	答，答话，回答。
󳷹	D1-0138	lɤ²¹	调头（犁地时～～）。
󳷺	D1-0139	tɑ̰²¹	抱（～柴），端（～碗）。
󳷻	D1-0140	t͡sɔ²¹	赛（～马）。
󳷼	D1-0141	mɔ⁵⁵	妻（夫～）。
󳷽	D1-0142	li²¹	去。
󳷾	D1-0143	so²¹	别人，人家。
󳷿	D1-0144	ɬo̹⁵⁵	换。
󳸀	D1-0145	kʰo̰²¹	口粮（X～）。
󳸁	D1-0146	mu³³	菌子。
󳸂	D1-0147	tʰe³³	蓆（竹～）。
󳸃	D1-0148	so⁵⁵	记号（打～～）。
󳸄	D1-0149	t͡ɕo³³	箕（X～），筲箕。
