glyph_unified	src_ref	pronunciation	meaning
댉	U0-00101	pi⁵⁵	关，闭。
둠	U0-00102	pi⁵⁵	盖。
몢	U0-00103	pi⁵⁵	隐瞒。
냚	U0-00104	pi⁵⁵	使…背。
롋	U0-00105	pi⁵⁵	茧。
냛	U0-00106	pi⁵⁵	丙。
뻃	U0-00107	pi³³	使…分散。
벸	U0-00108	pi³³	（形容词缀）〖尖溜溜〗。
댊	U0-00109	pi³³	〖乒乒乓乓〗。
녆	U0-00110	pi³³	秸秆，干草。
눻	U0-00201	pi³³	〖稀烂〗。
럖	U0-00202	pi¹³	〖霍麻〗。
땰	U0-00203	pi¹³	来由。
늗	U0-00204	pi¹³	根由。〖格言，谚语〗。
낇	U0-00205	pi¹³	雄性（指禽类）。〖布拖〗（县名）。
뜼	U0-00206	pi¹³	容易。
딕	U0-00207	pi¹³	可以。
몣	U0-00208	pi¹³	（头部某些突出部分）〖前额〗。
묳	U0-00209	pi²¹	〖荨麻〗。
녇	U0-00301	pi¹³	〖草垫，篾席〗。
녈	U0-00302	pi²¹	锋利。
냜	U0-00303	pi²¹	下巴。
둡	U0-00304	pi²¹	严重，惨重。
늘	U0-00305	pi²¹	（受）伤。
뀅	U0-00306	pi²¹	〖埋怨〗。
루	U0-00307	pɪ⁵⁵	剩。
볭	U0-00308	pɪ³³	跳。动。
룩	U0-00309	pɪ³³	渣。〖糊状〗。〖不清洁，不卫生〗。
뿯	U0-00310	pɪ³³	（形容词词缀）〖胀鼓鼓〗。
녉	U0-00311	pɪ³³	跛。
먏	U0-00312	pɪ¹³	掏。
뿰	U0-00401	pɪ¹³	〖咒猫儿语〗。
녊	U0-00402	pɪ¹³	本（钱）。
뇾	U0-00403	pɪ²¹	泡（量词）。
렬	U0-00404		〖全部〗。
뢖	U0-00405		让。
벭	U0-00406		飞舞。
롌	U0-00407		可能。
룋	U0-00408		阴门。
늙	U0-00409		参（与）。〖方面〗。
릖	U0-00410		分（蘖）。
뫶	U0-00411		蚌。
륹	U0-00412		刁难。诡辩。
봪	U0-00501		匾。
룑	U0-00502		（平面物体扭）翘。
뜽	U0-00503		〖屎（儿语）〗。
뻒	U0-00504		乳。哺乳。
둢	U0-00505		钩。
눼	U0-00506		帮（助）。
돢	U0-00507		替。
냝	U0-00508		（食用肉的前缀词素）〖吃肉〗。〖喜鹊〗。
똧	U0-00509		认。
뻓	U0-00510		搭配。合作。
녋	U0-00511		（伙）伴。
뻄	U0-00601		敌。
뢪	U0-00602		〖门转轴〗，〖门闩〗。
륺	U0-00603		碗。
뻅	U0-00604		想念，挂欠。
먐	U0-00605		〖管，筒〗。
돣	U0-00606		同类。
뗄	U0-00607		（嘴）唇。
댋	U0-00608		群（量词）。
룪	U0-00609		绊。
뽬	U0-00610		扣。
똨	U0-00611		挂（起）。
뽁	U0-00612		连累。
뱁	U0-00701		〖蘑菇〗。
뺑	U0-00702		〖敬酒〗。
됙	U0-00703		（须）根。
눽	U0-00704		（量词）根，头，个，条，只。
딦	U0-00705		（刀的前缀词素）〖刀子〗。巴（豆）。
뀙	U0-00706		特地，专门。
뎢	U0-00707		拜。
뜾	U0-00708		（带柄工具名称的后缀词素）〖伞〗。把（量词）。（毛）倒，反。〖摞棒〗。
땱	U0-00709		摆，陈列。
뾦	U0-00710		在场。
빕	U0-00711		板结。
밨	U0-00712		（糖的前缀词素）〖糖〗。
뾧	U0-00801		〖槟榔〗。〖菠萝〗。
룒	U0-00802		排（水）。
뾨	U0-00803		〖埋怨〗。〖诉苦〗。
녌	U0-00804		（一定的）数量。
놽	U0-00805		玻（璃）。
럘	U0-00806		波动，沸腾。波。
럗	U0-00807		绸缎。茧。
늚	U0-00808		（襁）褓。
뾁	U0-00809		包，扎。
늛	U0-00810		钢。
렄	U0-00811		〖苞谷〗。
멦	U0-00812		〖耳朵〗。
룫	U0-00901		返，回。
뀚	U0-00902		翻。
맥	U0-00903		〖强调〗。
뀛	U0-00904		爆。（植物上的）泡斑。
땲	U0-00905		交易。贩卖。
뗅	U0-00906		（强行）使牲畜往一定方向走。
룬	U0-00907		蒙（鼓）。
뾮	U0-00908		〖果子狸〗。〖獾〗。
먑	U0-00909		煎，炸。
멧	U0-00910		材料。〖啄木鸟〗。
덙	U0-01001		倒塌。
뇿	U0-01002		拐骗（人）。
뾩	U0-01003		〖哨子〗。〖空壳〗。〖梭子〗。
뾯	U0-01004		〖手套〗。〖袜子〗。
붑	U0-01005		嘣。
뗆	U0-01006		馒（头）、包（子）。
렅	U0-01007		〖梭子〗。
벮	U0-01008		纬（线）。
뒍	U0-01009		保护。担保。
붂	U0-01010		〖拳头〗。〖胳膊〗。
냞	U0-01011		（大口）吃。
롍	U0-01012		绵，〖韧绵〗。
덚	U0-01013		（一）切。
놾	U0-01101		〖奉养〗。
멨	U0-01102		〖栘依果〗。
뚓	U0-01103		刺（耳），吵（耳朵）。
뗇	U0-01104		（震动）感。
롎	U0-01105		肚（腹）。
땳	U0-01106		使…滚。
뗸	U0-01107		〖毛毛雨〗。〖沄雨〗。
뗹	U0-01108		臀。〖腰杆〗。
방	U0-01109		（碓）档。
뙖	U0-01110		〖（松、杉的）嫩尖〗。
뚔	U0-01111		〖斑茅草〗。
뙗	U0-01201		〖摇钱树〗。
뺮	U0-01202		缸，桶。（专指）桶。〖棺材〗。
렡	U0-01203		蛙类。
뽜	U0-01204		龟。
룭	U0-01205		（手）掌。
볞	U0-01206		（父系血缘相邻两辈间的）关系。
믔	U0-01207		块。穗。（量词）〖一块姜〗。
뤙	U0-01208		（花）朵。（量词）〖一朵花〗。
냟	U0-01209		论（说）。
뤚	U0-01210		诉（说）。
냠	U0-01301		雄性（泛指家畜）。
뷥	U0-01302		骟（牛、猪）。
뤛	U0-01303		〖云南〗。
삋	U0-01304		嘟（嘴）。
붸	U0-01305		搜查，抄。
놿	U0-01306		（用嘴）拱。
둣	U0-01307		驯服。〖田埂〗。
녍	U0-01308		推动。
뜿	U0-01309		〖骨头〗。
맗	U0-01310		刺猬。
뮳	U0-01311		〖白面狸〗。
룮	U0-01312		毕（摩）。〖毕摩祭祖灵〗。〖毕主哪慕格〗。念诵。〖崩遮博〗。
몤	U0-01401		绞。〖电缆〗。
뀆	U0-01402		裱褙。
뼂	U0-01403		调，拌。
맘	U0-01404		耢。
룯	U0-01405		（嘴）唇。
믨	U0-01406		（形容词缀）〖光溜溜〗。
뇀	U0-01407		堆（动词）。
뚕	U0-01408		码，叠（动词）。
뗈	U0-01501		浓，稠。
뭏	U0-01502		渣，豆渣。汤中的菜。干的（与稀相对）。
뵍	U0-01503		含化。
맮	U0-01504		（叹词）。〖武德本〗。〖敌博火液〗。
붮	U0-01505		沾。
룰	U0-01506		〖背箩〗。
뇁	U0-01507		〖芦苇〗。
먒	U0-01508		〖蚕豆（胡豆）〗。
냡	U0-01509		神龛。〖肺〗。
붹	U0-01601		〖生血菜〗。
븲	U0-01602		〖老实，忠厚〗。
녎	U0-01603		诚实。
똩	U0-01604		〖烧（炒）肉的气味〗。
묓	U0-01605		〖浪费〗。
먓	U0-01606		〖清楚，明白〗。
벹	U0-01607		很（副词）。
뛔	U0-01608		耍赖。
뺟	U0-01609		祖考（男祖先）。
봋	U0-01610		〖（不会产崽的）母畜〗。
뿒	U0-01611		〖哨子〗，〖空壳〗。〖破烂〗。
뮛	U0-01701		干瘪（指植物果实）。
뎕	U0-01702		裂。
뒎	U0-01703		价值，价格。
댌	U0-01704		〖臀部〗。
뭵	U0-01705		祖妣（女祖先）。〖皮聂〗。
뢫	U0-01706		〖外祖母〗。〖舅娘〗。
딧	U0-01707		〖平安〗，〖顺利〗。
뽵	U0-01708		〖厦子（小屋檐）〗。
벉	U0-01709		〖好久〗。
둗	U0-01710		〖瘿袋（大脖子）〗。
룱	U0-01801		肿。
뭍	U0-01802		慢。
똉	U0-01803		〖任意，随便〗。
라	U0-01804		〖丢丑，丢脸〗。
뤜	U0-01805		礼仪。制度。
뤝	U0-01806		爵禄。碑刻。
띀	U0-01807		指责。放出（塘水、田水）。
뢈	U0-01808		〖脾气〗。
뙘	U0-01809		〖旁边〗。
뭽	U0-01810		叠，折。
뒏	U0-01811		卷（衣袖、裤脚）。
댍	U0-01901		翘。
댎	U0-01902		（饮食过量）呕吐。
뮕	U0-01903		（恶心）呕吐。
땴	U0-01904		剥。
뮄	U0-01905		（吐）口水。
뭪	U0-01906		（水）溅。
뙙	U0-01907		（剖）开。
둤	U0-01908		幅（量词）。匹（量词），〖一匹名帛〗。
뙚	U0-01909		卷，本（量词）。
뢽	U0-01910		缺损。
뵳	U0-01911		（陶瓷、金属等）碎片。
뀳	U0-02001		呛。打喷嚏。
딨	U0-02002		〖钹〗。〖瓢〗。
륑	U0-02003		〖单眼皮〗。
뫷	U0-02004		〖咂酒〗。
땵	U0-02005		旗。
롏	U0-02006		页（码）。
댏	U0-02007		使…落。
뀴	U0-02008		灰（色）。
뀵	U0-02009		胛骨。
뀶	U0-02010		〖锄头〗。
륒	U0-02011		〖灰尘〗。
뿕	U0-02101		辣。
륓	U0-02102		〖背皮（背物套在额头上的皮带）〗。
뚱	U0-02103		剥。挑（刺）。
뫸	U0-02104		桩，件（峨山彝语）。
볱	U0-02105		膀。
멩	U0-02106		（漂流，浪荡）〖浪子〗。
볻	U0-02107		（同）情。
럙	U0-02108		掌。
뽷	U0-02109		〖后天〗。
뒐	U0-02110		（碓）担。
륔	U0-02111		别。另。〖另外〗。
륕	U0-02112		〖月琴〗。
낙	U0-02201		边（方位词）。方（面）。
뙛	U0-02202		侧。
뭾	U0-02203		叶。片（量词）。
띁	U0-02204		〖精气灵气〗。
냢	U0-02205		半。
뱂	U0-02206		（一双里的一）只。
묔	U0-02207		〖贪污〗。
듦	U0-02208		〖凡是〗。
뻔	U0-02209		派（动词）。
뿈	U0-02301		解释。
뀜	U0-02302		翻（开）。
념	U0-02303		反（叛）。
녏	U0-02304		（奴）婢。
뾰	U0-02305		酥，松脆（指食品）。松软。
뤞	U0-02306		方法，办法，措施。
뷾	U0-02307		檬，〖檬树，姜子树，柚栗子树〗。
멪	U0-02308		（蜂）窝。
뀝	U0-02309		逃。
롐	U0-02310		嘭。
뼱	U0-02401		〖缩口〗。
뾪	U0-02402		（帮，伙）〖你们这帮（伙）〗。
땶	U0-02403		轻率，马虎。
릷	U0-02404		父（母），（阴）阳，男（女）。
뼃	U0-02405		脑盖，〖头盖骨〗，〖头顶〗。
빷	U0-02406		遇，〖他俩相遇〗。
럚	U0-02407		〖茯苓〗。
뎣	U0-02408		族（人）。（某地、某类）人。〖姑父〗，〖公公〗。
릸	U0-02409		磨（动词，推磨）。
똊	U0-02410		（苞谷）米。
뷔	U0-02501		板，片。牌。
믕	U0-02502		〖瓦〗。
삌	U0-02503		丘（块）。
멫	U0-02504		（成团的物质）〖泥巴团〗，〖饭团〗。
뫨	U0-02505		瓶，壶。
뼲	U0-02506		癣。生癣。
뇂	U0-02507		锅。锅（量词）。
끗	U0-02508		〖野葱（苦蒜）〗。
럛	U0-02509		条（量词）。
붍	U0-02510		块（量词）。
뎔	U0-02601		扇（量词）。
뵧	U0-02602		〖水灯芯〗。
뢉	U0-02603		〖土块〗。
멬	U0-02604		〖群众，百姓〗。
뷿	U0-02605		壅（土）。
릗	U0-02606		〖家谱〗。
몥	U0-02607		刮风。
뤟	U0-02608		糊涂。
삀	U0-02609		（液体沸腾）溢出。
늜	U0-02610		开。
둥	U0-02611		（说）明。〖过分〗。
뛕	U0-02612		劈（路）。
먔	U0-02701		发现。
룄	U0-02702		胀。
롻	U0-02703		（土）地。濮（人），〖武濮所〗，〖濮吐珠液〗。
봫	U0-02704		供养。
낚	U0-02705		噗（象声词）。
뒑	U0-02706		豁（出）。
볿	U0-02707		（花）盛开。
뤠	U0-02708		穿。
벖	U0-02709		布。
녑	U0-02710		帐。
묪	U0-02711		丛，蓬。〖喳蓬蓬〗。
뱚	U0-02712		〖囤箩〗。
뾺	U0-02801		〖水泡〗。
벊	U0-02802		〖枪，炮〗。
뫹	U0-02803		潮（水）。
믖	U0-02804		旺盛。
변	U0-02805		〖导火线〗。
뽂	U0-02806		〖说话（讽刺〗）。
맯	U0-02807		泡（形容词）。
끘	U0-02808		丰盛。
똫	U0-02809		给。
똪	U0-02810		〖臭味，怪味〗。
뗉	U0-02811		〖膀胱〗。
빎	U0-02901		怀孕。
늝	U0-02902		背（动词）。
뭿	U0-02903		〖天花〗。
뷃	U0-02904		分散，散开。散乱。
뀞	U0-02905		象声词（像枪弹飞驰声）。
볫	U0-02906		虫。蚕。〖螃蟹〗。
늞	U0-02907		〖小腿肚〗。
멭	U0-02908		蹄子。〖脚后跟〗。
딩	U0-02909		〖公马〗。
땷	U0-02910		（屋）脊。（牛背）峰。
듧	U0-03001		欠（债）。
늟	U0-03002		（颤）抖。
랃	U0-03003		〖另外〗。〖人名，地名用字〗。
끙	U0-03004		松球。
빖	U0-03005		〖陀螺〗。
봬	U0-03006		（快速）旋转。
뮴	U0-03007		起始。〖布，默，彝族六祖的第五，第六支系的名称〗。
븎	U0-03008		倒毛。
끚	U0-03009		葵花。
멮	U0-03010		〖肚脐眼〗。
먕	U0-03101		拖。〖腰包，衣兜〗。〖韧绵（形容食物不易嚼烂〗）。
늠	U0-03102		婆家。
마	U0-03103		〖葫芦〗。
막	U0-03104		〖天麻〗。
댐	U0-03105		〖芋头〗。
끧	U0-03106		萌（发），萌（芽）。
띂	U0-03107		出（血，脓）。〖地名用词〗。
둀	U0-03108		（开）裂。
뵨	U0-03109		破。
됚	U0-03110		煮（酒颗）。
뿜	U0-03111		〖鼻子〗。
녒	U0-03112		鼻涕。
뱼	U0-03201		落（在），落（入）。
븽	U0-03202		绊。
삢	U0-03203		骈（pián）生（并列而生）。
딪	U0-03204		〖蜥蜴〗。
뮋	U0-03205		鸭子。
무	U0-03206		（野）鸭。〖鸳鸯〗。
물	U0-03207		〖茨菇〗。
늡	U0-03208		茁壮。
몦	U0-03209		吵（架）。
벋	U0-03210		袍（披袍）。
먖	U0-03211		〖攀枝花〗。
돤	U0-03212		（豆）荚。〖酸角〗。
뙜	U0-03301		块。
뭫	U0-03302		落，掉。〖柏雅妥洪，今四川古蔺，为古代彝族且兰地方政权所在地〗。
듔	U0-03303		〖便宜〗。
냣	U0-03304		戏弄，逗乐。
뜜	U0-03305		〖阿别纳，一种原始的彝族舞蹈〗。〖黄鼠狼〗。〖脚后跟〗。
뭡	U0-03306		（银杏。（苤（pie）蓝）。
묽	U0-03307		〖芝麻〗。〖柿子〗。
댑	U0-03308		彗（星）。
붇	U0-03309		〖篱笆〗。〖当面羞人〗。
뫺	U0-03310		〖螃蟹〗。
볐	U0-03311		暴露。
룲	U0-03401		〖牛（斗架。（象声词（公羊追逐母羊发出的声音〗。
뫻	U0-03402		〖衣服，毡子〗。
롱	U0-03403		锤子。〖蜥蜴〗。
릫	U0-03404		笨拙。
뜝	U0-03405		〖虾子〗。
뮽	U0-03406		小。〖词尾〗。
